file,Red,Green,Blue,NIR,RedEdge,DeepBlue,field,range,row,PC1,PC2,PC3
Crawfordsville-TP6-4353_4_46,1380.015873015873,976.1468253968254,714.3253968253969,2216.5992063492063,1790.6825396825398,563.3888888888889,Crawfordsville-TP6-4353,4,46,0.04760202508342176,0.019193515355967503,-0.0016182012606807445
Crawfordsville-TP6-4351_9_13,1242.047619047619,844.5238095238095,640.1468253968254,2036.142857142857,1619.063492063492,506.5515873015873,Crawfordsville-TP6-4351,9,13,0.04409095043072527,0.05723112337020323,-0.05361767550422493
Crawfordsville-TP6-4352_21_4,1278.4632034632034,933.3333333333334,704.025974025974,2017.6623376623377,1652.6493506493507,591.6060606060606,Crawfordsville-TP6-4352,21,4,0.04136855894224722,0.034026236181791084,0.04680627058774659
Crawfordsville-TP6-4352_21_8,1201.8531746031747,884.984126984127,658.9722222222222,1843.3849206349207,1536.6031746031747,543.6349206349206,Crawfordsville-TP6-4352,21,8,0.03773236565917491,-0.01058661871124065,0.06156574859212473
Crawfordsville-TP6-4351_10_13,1224.6239669421489,886.7355371900826,674.1735537190083,1931.6446280991736,1571.1363636363637,541.9958677685951,Crawfordsville-TP6-4351,10,13,0.03992020639294907,0.020620025480778,-0.001914574176880522
Crawfordsville-TP6-4353_12_46,1247.1136363636363,882.4015151515151,654.8977272727273,1926.1666666666667,1595.5530303030303,527.3939393939394,Crawfordsville-TP6-4353,12,46,0.040673436094865775,-0.01316694478924369,0.025559036751546145
Crawfordsville-TP6-4351_10_17,1213.3203463203463,859.3073593073593,655.952380952381,2057.78354978355,1653.051948051948,546.8225108225108,Crawfordsville-TP6-4351,10,17,0.043918638808241345,0.10526728500598811,0.12114057491039733
Crawfordsville-TP6-4353_13_45,1706.8051948051948,1213.1645021645022,889.012987012987,2647.6709956709956,2182.904761904762,666.5844155844156,Crawfordsville-TP6-4353,13,45,0.0568679782559862,-0.05247192861233464,0.014644260767103092
Crawfordsville-TP6-4352_2_8,1117.5,829.5619834710744,629.396694214876,1777.1528925619834,1465.301652892562,522.3471074380166,Crawfordsville-TP6-4352,2,8,0.03633911631340898,0.03147463224512615,0.10015580441903
Crawfordsville-TP6-4352_6_8,1224.3181818181818,893.2520661157025,688.3099173553719,1913.6652892561983,1569.6198347107438,556.99173553719,Crawfordsville-TP6-4352,6,8,0.03904318572020231,0.017942561263359694,0.021702761270234457
Crawfordsville-TP6-4352_13_2,1173.4126984126983,844.6944444444445,645.015873015873,1803.611111111111,1473.7936507936508,522.9285714285714,Crawfordsville-TP6-4352,13,2,0.03684521550486505,0.0018005307817518816,-0.04804748190340973
Crawfordsville-TP6-4351_11_13,1255.7396694214876,891.8842975206611,675.6115702479339,1992.5206611570247,1612.9132231404958,540.5619834710744,Crawfordsville-TP6-4351,11,13,0.041780115419215856,0.024904542506567227,-0.022485194964429835
Crawfordsville-TP6-4353_13_46,1660.2164502164503,1155.4761904761904,867.7922077922078,2636.134199134199,2134.1991341991343,668.0649350649351,Crawfordsville-TP6-4353,13,46,0.05655344053413252,0.010670473157799364,-0.044149227415159184
Crawfordsville-TP6-4352_2_3,1080.6666666666667,763.4810606060606,576.6212121212121,1737.5416666666667,1397.3522727272727,457.9583333333333,Crawfordsville-TP6-4352,2,3,0.03676442534603125,0.03036830564322642,-0.021264018470563466
