file_,Green_mean,Red_mean,NGRDI_mean,location,Green_mean_sat,Red_mean_sat,NGRDI_mean_sat
Crawfordsville-TP1-4352_8_9,130.2762420133003,85.3342831721292,-0.2178497226983083,Crawfordsville,548.765,342.735,-0.2572402936202439
Crawfordsville-TP1-4352_9_2,105.44770680370117,66.54558271762829,-0.2350279899054137,Crawfordsville,463.085,302.41,-0.2212547967990661
Crawfordsville-TP1-4352_9_3,106.05982450149446,69.87717023048087,-0.2045573970922247,Crawfordsville,489.54,328.585,-0.2086876350740424
Crawfordsville-TP1-4352_9_4,111.31177843281748,76.31998434045688,-0.1774521493840241,Crawfordsville,448.009900990099,287.1881188118812,-0.2463038372934799
Crawfordsville-TP1-4352_9_5,118.35159971206714,79.46886343099567,-0.1937543433603543,Crawfordsville,512.7129186602871,326.8373205741627,-0.2359284699803765
Crawfordsville-TP1-4352_9_6,124.30836269166429,80.07811114794286,-0.215089642786257,Crawfordsville,532.0191387559809,335.066985645933,-0.2358799100075237
Crawfordsville-TP1-4352_9_7,118.5193079344237,77.31326008457721,-0.2162538748277779,Crawfordsville,541.695,347.385,-0.2283637665433611
Crawfordsville-TP1-4352_9_8,120.4385267102737,79.6559450045408,-0.2055956230276803,Crawfordsville,542.36,354.495,-0.2223844199776998
Crawfordsville-TP1-4352_9_9,131.19781859004178,93.01599341809332,-0.1681835111890362,Crawfordsville,555.98,360.425,-0.2305997581975931
Crawfordsville-TP1-4353_10_42,137.50177779201434,103.77862485385268,-0.1410132222887094,Crawfordsville,576.2,400.2731707317073,-0.2060831935093023
Crawfordsville-TP1-4353_10_43,120.9565250333978,78.86875760173868,-0.2048705839692124,Crawfordsville,512.555,319.45,-0.2454208501731303
Crawfordsville-TP1-4353_10_44,106.43418645352553,67.63465316278867,-0.2199966936824487,Crawfordsville,477.40686274509807,303.9264705882353,-0.2407153987878321
Crawfordsville-TP1-4353_10_45,134.71564432897543,102.94301366162549,-0.1335647966096013,Crawfordsville,583.6367924528302,414.8962264150944,-0.1857494294781866
Crawfordsville-TP1-4353_10_46,119.75874803437269,80.32818034531506,-0.1989792075340835,Crawfordsville,517.4700460829494,335.9953917050691,-0.2395637022426343
Crawfordsville-TP1-4353_11_42,120.12720102677469,79.82331458740744,-0.1993418711523042,Crawfordsville,505.5,327.1057692307692,-0.22400088864657
Crawfordsville-TP1-4353_11_43,131.08978293353042,92.78566092000192,-0.1671231694613474,Crawfordsville,527.13,343.805,-0.2254380032548043
Crawfordsville-TP1-4353_11_44,146.96078226732283,109.57080065188944,-0.1432020800255475,Crawfordsville,573.4162679425838,385.09090909090907,-0.2237412537717545
Crawfordsville-TP1-4353_11_45,118.43644419152916,79.33906186488903,-0.1947394219497507,Crawfordsville,486.6456310679612,318.80582524271847,-0.228779970810867
Crawfordsville-TP1-4353_11_46,122.71249098292226,84.03880788153384,-0.1861088223973033,Crawfordsville,497.675,323.445,-0.228233871803588
Crawfordsville-TP1-4353_12_42,123.92093536748294,86.21742973943792,-0.1802056559915751,Crawfordsville,524.1435643564356,340.3168316831683,-0.2331146705521237
Crawfordsville-TP1-4353_12_43,131.6566608317018,91.5654519572386,-0.1761389484085438,Crawfordsville,519.4311926605504,329.70642201834863,-0.2477419768988623
Crawfordsville-TP1-4353_12_44,110.68380583952109,73.90576918465707,-0.1938537364728016,Crawfordsville,474.0239234449761,297.2392344497608,-0.2493298463106221
Crawfordsville-TP1-4353_12_45,118.40601903695408,78.96646536554151,-0.1965858781619451,Crawfordsville,517.1609756097561,338.1463414634146,-0.2284649249391978
Crawfordsville-TP1-4353_12_46,116.52800047840212,77.5011820519465,-0.2035027072738351,Crawfordsville,510.095,332.245,-0.2244567289533307
Crawfordsville-TP1-4353_13_42,125.26844439746472,87.51337363651517,-0.1791325192127479,Crawfordsville,564.4326923076923,384.71153846153845,-0.2126026107193914
Crawfordsville-TP1-4353_13_43,117.78947791003432,78.80748308878138,-0.1938921746949159,Crawfordsville,525.285,346.67,-0.2343674014950968
Crawfordsville-TP1-4353_13_44,124.450804054569,81.53409359845006,-0.2032145007333156,Crawfordsville,523.07,330.795,-0.2377161088440936
Crawfordsville-TP1-4353_13_45,140.44941007646634,103.2650242056086,-0.1535214668535871,Crawfordsville,538.6390243902439,367.0634146341464,-0.2090496312235283
Crawfordsville-TP1-4353_13_46,116.20131910937984,79.7274578371918,-0.1815776830285548,Crawfordsville,492.45412844036696,319.9954128440367,-0.2350053229914597
Crawfordsville-TP1-4353_14_42,123.519169213447,79.73350490590317,-0.2253220841246464,Crawfordsville,554.304347826087,363.8502415458937,-0.2258752133635259
Crawfordsville-TP1-4353_14_43,122.05221960239854,82.29334977039971,-0.1888239610944591,Crawfordsville,532.7884615384615,348.7692307692308,-0.2292580989488246
Crawfordsville-TP1-4353_14_44,129.63398827771337,85.58173038740728,-0.1999790236329031,Crawfordsville,515.9278846153846,320.4375,-0.2573585268942587
Crawfordsville-TP1-4353_14_45,113.0340931206088,73.91689206095774,-0.2053954858799762,Crawfordsville,485.69565217391306,310.7487922705314,-0.23680627552239
Crawfordsville-TP1-4353_14_46,131.21455158311767,90.2301351480878,-0.1898705674622304,Crawfordsville,537.54,340.0,-0.2406998339562774
Crawfordsville-TP1-4353_15_42,119.28391701985278,79.54927503903636,-0.2032989283773587,Crawfordsville,515.75,350.945,-0.2046060050071483
Crawfordsville-TP1-4353_15_43,119.23812384843389,84.12012336778018,-0.1726979694757591,Crawfordsville,488.5263157894737,320.0622009569378,-0.2265297502681152
Crawfordsville-TP1-4353_15_44,132.5718263751364,93.24099745382532,-0.1716325337624296,Crawfordsville,541.2727272727273,355.7799043062201,-0.2238164792447702
Crawfordsville-TP1-4353_15_45,125.18864384052571,87.95862946513061,-0.1665951120686194,Crawfordsville,528.2932692307693,352.125,-0.2177745933445971
Crawfordsville-TP1-4353_15_46,147.32706258847685,112.8919349211378,-0.136399729329416,Crawfordsville,602.4154589371981,409.6811594202899,-0.2119578216828228
Crawfordsville-TP1-4353_16_42,104.54579273336158,64.63093869152091,-0.2440408395933292,Crawfordsville,465.89302325581394,299.8325581395349,-0.2318168807873612
Crawfordsville-TP1-4353_16_43,125.69203350347024,91.95817278584803,-0.1589997666737809,Crawfordsville,502.0845771144279,316.4726368159204,-0.2442190201903456
