file_,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp,genotype
Crawfordsville-TP3-4351_14_16,0.0990330188896189,0.0987654320987654,14.260754720105137,-0.0990330188896189,-0.0987654320987654,-14.260754720105137,70.29861111111111,70.5,10123,85.11805555555556,86.0,12257,71.26388888888889,72.0,10262,0.0942677225786623,0.0920440159703963,13.57455205132738,Crawfordsville-TP3-4351,14,16,30500.0,18.43,166.55,61.0,,,,,,,,,,,3.28,219.0,Crawfordsville,TP3,4351,PHK76 X LH198
Crawfordsville-TP3-4351_14_17,0.1058448243451833,0.1034482758620689,15.241654705706402,-0.1058448243451833,-0.1034482758620689,-15.241654705706402,74.49305555555556,75.0,10727,91.24305555555556,93.0,13139,75.97916666666667,78.0,10941,0.0995914746701471,0.0954738330975954,14.341172352501191,Crawfordsville-TP3-4351,14,17,31500.0,17.98,162.68,63.0,,,,,,,,,,,0.0,250.0,Crawfordsville,TP3,4351,LH123HT X PHB47
Crawfordsville-TP3-4351_14_18,0.0704224847347336,0.0683229813664596,10.140837801801643,-0.0704224847347336,-0.0683229813664596,-10.140837801801643,72.70138888888889,75.0,10469,83.49305555555556,84.0,12023,75.35416666666667,77.0,10851,0.0608170041048847,0.0586425339366515,8.75764859110341,Crawfordsville-TP3-4351,14,18,33000.0,19.03,170.57,66.0,,,,,,,,,,,1.52,212.0,Crawfordsville,TP3,4351,LH74 X PHN82
Crawfordsville-TP3-4351_14_19,0.0812565930242149,0.0813953488372093,11.700949395486957,-0.0812565930242149,-0.0813953488372093,-11.700949395486957,70.59027777777777,70.0,10165,82.70138888888889,83.0,11909,71.98611111111111,72.0,10366,0.0755166286867994,0.074074074074074,10.874394530899124,Crawfordsville-TP3-4351,14,19,27500.0,16.65,153.8,55.0,,,,,,,,,,,9.09,232.0,Crawfordsville,TP3,4351,2369 X 3IIH6
Crawfordsville-TP3-4351_14_20,0.0923380669020822,0.0967903084800799,13.296681633899844,-0.0923380669020822,-0.0967903084800799,-13.296681633899844,71.04861111111111,70.5,10231,84.84027777777777,86.0,12217,73.59722222222223,74.0,10598,0.0822278619587287,0.0841890049977283,11.84081212205694,Crawfordsville-TP3-4351,14,20,31000.0,18.58,168.1,62.0,,,,,,,,,,,1.61,245.0,Crawfordsville,TP3,4351,PHW52 X PHZ51
Crawfordsville-TP3-4351_15_13,0.1004818252993199,0.0993377483443708,14.469382843102077,-0.1004818252993199,-0.0993377483443708,-14.469382843102077,72.55555555555556,74.0,10448,88.08333333333333,89.0,12684,75.75,77.0,10908,0.0882767591593803,0.0881716435238935,12.711853318950766,Crawfordsville-TP3-4351,15,13,31000.0,18.23,165.13,62.0,,,,,,,,,,,0.0,220.0,Crawfordsville,TP3,4351,PHK56 X PHJ89
Crawfordsville-TP3-4351_15_14,0.0998997217749,0.1021802548748656,14.38555993558561,-0.0998997217749,-0.1021802548748656,-14.38555993558561,72.99305555555556,72.0,10511,88.39583333333333,88.0,12729,76.16666666666667,77.0,10968,0.0875161391699106,0.087378640776699,12.602324040467138,Crawfordsville-TP3-4351,15,14,32500.0,19.52,172.3,65.0,,,,,,,,,,,0.0,239.0,Crawfordsville,TP3,4351,F42 X OH43
Crawfordsville-TP3-4351_15_15,0.1037295006642022,0.1017964071856287,14.93704809564512,-0.1037295006642022,-0.1017964071856287,-14.93704809564512,71.20138888888889,72.0,10253,87.25694444444444,89.0,12565,73.54861111111111,74.5,10591,0.094773009298812,0.0920440159703963,13.647313339028928,Crawfordsville-TP3-4351,15,15,33000.0,16.81,153.5,66.0,,,,,,,,,,,0.0,178.0,Crawfordsville,TP3,4351,PHP02 X LH82
Crawfordsville-TP3-4351_15_16,0.1076295992099944,0.1034482758620689,15.4986622862392,-0.1076295992099944,-0.1034482758620689,-15.4986622862392,66.02777777777777,68.0,9508,81.4375,83.0,11727,69.84722222222223,71.0,10058,0.0924027973820193,0.0881219442047742,13.30600282301079,Crawfordsville-TP3-4351,15,16,27000.0,16.42,149.6,54.0,,,,,,,,,,,0.0,242.0,Crawfordsville,TP3,4351,LH185 X W606S
Crawfordsville-TP3-4351_15_17,0.1016305064949127,0.1017964071856287,14.63479293526744,-0.1016305064949127,-0.1017964071856287,-14.63479293526744,72.67361111111111,75.0,10465,88.47916666666667,90.0,12741,77.02083333333333,78.0,11091,0.0856766479741744,0.0857091494455748,12.337437308281114,Crawfordsville-TP3-4351,15,17,28500.0,19.32,176.43,57.0,,,,,,,,,,,0.0,232.0,Crawfordsville,TP3,4351,PHP02 X W606S
Crawfordsville-TP3-4351_15_18,0.0893579495243533,0.0909090909090909,12.867544731506886,-0.0893579495243533,-0.0909090909090909,-12.867544731506886,69.90277777777777,69.5,10066,83.31944444444444,83.0,11998,70.86805555555556,71.0,10205,0.0853733336662129,0.0837415039378573,12.293760047934658,Crawfordsville-TP3-4351,15,18,30500.0,18.81,166.43,61.0,,,,,,,,,,,3.28,206.0,Crawfordsville,TP3,4351,PHW52 X PHN82
Crawfordsville-TP3-4351_15_20,0.0900901423155746,0.0919540229885057,12.972980493442751,-0.0900901423155746,-0.0919540229885057,-12.972980493442751,72.31944444444444,71.0,10414,86.13888888888889,87.0,12404,76.13194444444444,77.0,10963,0.0758498563315301,0.0757760463596049,10.922379311740348,Crawfordsville-TP3-4351,15,20,32500.0,20.05,186.26,65.0,,,,,,,,,,,0.0,218.0,Crawfordsville,TP3,4351,PHT69 X 3IIH6
Crawfordsville-TP3-4351_16_13,0.0994757706717388,0.1003017855645904,14.32451097673039,-0.0994757706717388,-0.1003017855645904,-14.32451097673039,69.98611111111111,70.0,10078,84.93055555555556,84.0,12230,74.58333333333333,75.0,10740,0.0820639550735445,0.0809132113479939,11.817209530590418,Crawfordsville-TP3-4351,16,13,31000.0,20.15,175.95,62.0,,,,,,,,,,,0.0,263.0,Crawfordsville,TP3,4351,LH195 X LH123HT
Crawfordsville-TP3-4351_16_14,0.0973080059601692,0.0993377483443708,14.012352858264377,-0.0973080059601692,-0.0993377483443708,-14.012352858264377,73.49305555555556,73.0,10583,88.77083333333333,90.0,12783,75.47222222222223,75.0,10868,0.089872386026744,0.0865604491624681,12.941623587851144,Crawfordsville-TP3-4351,16,14,35000.0,16.74,153.75,70.0,,,,,,,,,,,0.0,263.0,Crawfordsville,TP3,4351,LH123HT X 3IIH6
Crawfordsville-TP3-4351_16_15,0.0900092770693357,0.0909090909090909,12.961335897984354,-0.0900092770693357,-0.0909090909090909,-12.961335897984354,79.21527777777777,79.0,11407,94.18055555555556,96.0,13562,79.89583333333333,80.0,11505,0.0866720859822576,0.0854557881862004,12.480780381445095,Crawfordsville-TP3-4351,16,15,29000.0,17.23,158.43,58.0,,,,,,,,,,,0.0,221.0,Crawfordsville,TP3,4351,PHP02 X PHB47
Crawfordsville-TP3-4351_16_16,0.1087880617881421,0.1072437449556093,15.665480897492468,-0.1087880617881421,-0.1072437449556093,-15.665480897492468,71.03472222222223,71.0,10229,87.39583333333333,87.0,12585,74.04861111111111,74.0,10663,0.096610886421189,0.0960955019126764,13.911967644651222,Crawfordsville-TP3-4351,16,16,29000.0,18.62,170.03,58.0,,,,,,,,,,,1.72,240.0,Crawfordsville,TP3,4351,PHN46 X PHB47
Crawfordsville-TP3-4351_16_17,0.0936887629894735,0.0975910364145658,13.491181870484189,-0.0936887629894735,-0.0975910364145658,-13.491181870484189,74.16666666666667,73.0,10680,88.90277777777777,89.0,12802,75.77777777777777,77.0,10912,0.0873107336299535,0.0875,12.572745642713317,Crawfordsville-TP3-4351,16,17,31500.0,14.67,139.98,63.0,,,,,,,,,,,0.0,225.0,Crawfordsville,TP3,4351,PHK76 X LH145
