file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,GRVI_mean,GRVI_median,GRVI_sum,field,range,row,exp,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,genotype
Lincoln-TP2-hybrids_8_30,112.80762643151516,113.0,23512832,140.31232578334524,141.0,29245719,92.42055720543291,90.0,19263494,0.1638083207092439,0.1595505617977528,34143.05971038983,-0.1149111707234338,-0.1122448979591836,-23951.28004739749,0.1149111707234338,0.1122448979591836,23951.28004739749,Lincoln-TP2-hybrids,8,30,hybrids,,4.84,44.4,,57.0,1295.5,60.0,1370.73,5.37,69.77,10.73,4.74,0.93,1.11,,153.0,PHK56 X LH82
Lincoln-TP2-hybrids_8_31,153.14846721217012,154.0,31892862,166.36081979178672,170.0,34644308,120.37081268487572,120.0,25066981,0.1050282532717186,0.1005586592178771,21871.923687328854,-0.0469152764183376,-0.04,-9770.012483565972,0.0469152764183376,0.04,9770.012483565972,Lincoln-TP2-hybrids,8,31,hybrids,,0.49,5.06,,61.0,1395.88,71.0,1631.41,4.76,64.73,15.41,4.22,0.96,1.3,,,LH123HT X 3IIH6
Lincoln-TP2-hybrids_8_32,129.81792225117448,129.0,27052627,149.16920278901478,150.0,31085221,105.4823143256122,104.0,21981354,0.124640611532375,0.1211072664359861,25973.732396620104,-0.0734371493055698,-0.0725552050473186,-15303.494106638396,0.0734371493055698,0.0725552050473186,15303.494106638396,Lincoln-TP2-hybrids,8,32,hybrids,,2.58,23.4,,60.0,1370.73,64.0,1479.48,5.19,65.22,11.78,4.1,1.79,1.18,,196.0,B73 X PHM49
Lincoln-TP2-hybrids_8_33,129.27426956154497,130.0,26936621,148.94038911925057,154.0,31034411,107.26561180219612,107.0,22350721,0.1253205841490961,0.1202185792349726,26112.799477978857,-0.0801127445719734,-0.075268817204301,-16692.932360972958,0.0801127445719734,0.075268817204301,16692.932360972958,Lincoln-TP2-hybrids,8,33,hybrids,,1.37,12.73,,59.0,1346.07,62.0,1422.27,5.75,69.18,12.63,3.73,1.15,1.37,,154.0,PHN46 X PHK56
Lincoln-TP2-hybrids_8_34,162.81300149337585,167.0,33906296,170.17069622046262,176.0,35438558,130.55844093482446,132.0,27189187,0.0796046996162338,0.073170731707317,16577.91750917955,-0.0261151667547207,-0.0165745856353591,-5438.561822170861,0.0261151667547207,0.0165745856353591,5438.561822170861,Lincoln-TP2-hybrids,8,34,hybrids,,1.58,14.73,,58.0,1320.57,61.0,1395.88,5.78,64.44,15.01,4.66,2.01,1.72,,192.0,B73 X 3IIH6
Lincoln-TP2-hybrids_8_35,134.88729588849102,134.0,28102689,150.9270190360081,152.0,31444437,111.80729281661884,110.0,23294155,0.1067942157907112,0.1039697542533081,22249.72050626836,-0.0602195159956378,-0.0581395348837209,-12546.254401563176,0.0602195159956378,0.0581395348837209,12546.254401563176,Lincoln-TP2-hybrids,8,35,hybrids,,2.85,26.27,,56.0,1268.08,58.0,1320.57,4.66,65.61,13.7,4.16,1.67,1.44,,160.0,2369 X PHP02
Lincoln-TP2-hybrids_8_36,137.99285947524106,141.0,28736737,154.0329318889017,160.0,32077050,116.55328262456302,118.0,24271988,0.1051235426313536,0.0989010989010989,21891.76750589413,-0.0641749784809474,-0.056338028169014,-13364.310918700348,0.0641749784809474,0.056338028169014,13364.310918700348,Lincoln-TP2-hybrids,8,36,hybrids,,4.07,37.17,,61.0,1395.88,62.0,1422.27,,,,,,,,186.0,LH198 X PHB47
Lincoln-TP2-hybrids_8_37,116.07734445890084,115.0,24177634,137.23112118258766,139.0,28583733,92.94148994906116,90.0,19358690,0.1461518478383098,0.1428571428571428,30441.822234393723,-0.0919653462370432,-0.0909090909090909,-19155.370002367497,0.0919653462370432,0.0909090909090909,19155.370002367497,Lincoln-TP2-hybrids,8,37,hybrids,,5.08,46.07,,57.0,1295.5,61.0,1395.88,5.0,70.07,10.96,4.51,0.55,1.0,,158.0,PHK76 X LH82
Lincoln-TP2-hybrids_8_38,107.10724385782125,106.0,22307547,130.8696470497856,131.0,27256614,89.90464918640438,88.0,18724711,0.1495654484053291,0.1468531468531468,31150.444635723117,-0.1061589060973025,-0.1062271062271062,-22110.03384960349,0.1061589060973025,0.1062271062271062,22110.03384960349,Lincoln-TP2-hybrids,8,38,hybrids,,4.5,41.09,,61.0,1395.88,61.0,1395.88,5.45,69.82,11.43,4.12,2.22,1.58,,172.0,SYNGENTA NK0760-3111
Lincoln-TP2-hybrids_8_39,109.81525413961351,109.0,22867050,136.45135714011295,139.0,28413539,87.12931729993468,85.0,18143112,0.1737535298123617,0.1713395638629283,36181.0450198877,-0.1167796349416439,-0.1159420289855072,-24317.2569431684,0.1167796349416439,0.1159420289855072,24317.2569431684,Lincoln-TP2-hybrids,8,39,hybrids,,4.55,41.79,,55.0,1238.89,57.0,1295.5,4.87,65.37,14.07,4.38,1.06,1.25,,151.0,PHJ40 X LH82
