time,location,model,image,r2,rep,Location,Date,Image
TP1,Scottsbluff,LR,UAV,0.0516294459364238,4,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,LASSO,UAV,0.199942326680283,4,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,SVM,UAV,0.194502710020412,4,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,GB,UAV,0.22717311619909,4,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,RF,UAV,0.279537463229263,5,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,PLSR,UAV,0.00627489672892732,5,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,LR,UAV,0.00731006317559105,5,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,LASSO,UAV,0.257358071810908,5,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,SVM,UAV,0.237570575566444,5,Scottsbluff,2022-07-08,UAV
TP1,Scottsbluff,GB,UAV,0.193343479420409,5,Scottsbluff,2022-07-08,UAV
TP3,Crawfordville,RF,Satellite,0.317202239847488,1,Crawfordville,2022-08-02,Satellite
TP3,Crawfordville,PSLR,Satellite,0.280812220635591,1,Crawfordville,2022-08-02,Satellite
TP3,Crawfordville,LR,Satellite,0.0763004831614317,1,Crawfordville,2022-08-02,Satellite
TP3,Crawfordville,LASSO,Satellite,,1,Crawfordville,2022-08-02,Satellite
TP3,Crawfordville,SVM,Satellite,0.317125796905774,1,Crawfordville,2022-08-02,Satellite
TP3,Crawfordville,GB,Satellite,0.201575258065534,1,Crawfordville,2022-08-02,Satellite
TP3,Crawfordville,RF,Satellite,0.013318132023563,2,Crawfordville,2022-08-02,Satellite
TP3,Crawfordville,PSLR,Satellite,0.0290102867243926,2,Crawfordville,2022-08-02,Satellite
TP3,Crawfordville,LR,Satellite,0.00805373418530156,2,Crawfordville,2022-08-02,Satellite
