,file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp
39,Crawfordsville-TP2-4351_14_20,70.71751175838791,68.0,18238117,100.54319293062066,100.0,25930190,62.69424313980946,60.0,16168908,0.2033332763418315,0.2033613445378151,52439.85530183469,0.1712901371372931,0.1764705882352941,44175.89765784505,Crawfordsville-TP2-4351,14,20,31000.0,18.58,168.1,62.0,,,,,,,,,,,1.61,245.0,Crawfordsville,TP2,4351
40,Crawfordsville-TP2-4351_15_13,82.57864088209296,80.0,21299674,114.97365972426842,115.0,29655386,72.61953538141836,70.0,18730902,0.1999187813634607,0.198019801980198,51565.45111464016,0.1639216842360094,0.1688311688311688,42280.6478583624,Crawfordsville-TP2-4351,15,13,31000.0,18.23,165.13,62.0,,,,,,,,,,,0.0,220.0,Crawfordsville,TP2,4351
41,Crawfordsville-TP2-4351_15_14,88.15888799239367,86.0,23273153,119.76089715179684,122.0,31615799,77.32633309468883,76.0,20413456,0.1874762263490722,0.1863117870722433,49492.036470117935,0.1530830637137494,0.1565217391304348,40412.551072856426,Crawfordsville-TP2-4351,15,14,32500.0,19.52,172.3,65.0,,,,,,,,,,,0.0,239.0,Crawfordsville,TP2,4351
42,Crawfordsville-TP2-4351_15_15,84.3642524980855,84.0,22804248,116.2646139389657,118.0,31427139,72.98548687233405,72.0,19728488,0.1946251692103901,0.1954022988505747,52608.54561375292,0.154497140006444,0.160621761658031,41761.658423721856,Crawfordsville-TP2-4351,15,15,33000.0,16.81,153.5,66.0,,,,,,,,,,,0.0,178.0,Crawfordsville,TP2,4351
43,Crawfordsville-TP2-4351_15_16,72.33352157785006,68.0,18700313,104.30137044586874,102.0,26964929,64.02287170878316,59.0,16551769,0.2105440343917499,0.2140077821011673,54431.73866726473,0.1759045115346506,0.1843575418994413,45476.4174625417,Crawfordsville-TP2-4351,15,16,27000.0,16.42,149.6,54.0,,,,,,,,,,,0.0,242.0,Crawfordsville,TP2,4351
44,Crawfordsville-TP2-4351_15_17,83.36758948126369,82.0,22229801,115.06336068524796,116.0,30681415,72.82484398907924,71.0,19418599,0.1957784410647047,0.1940298507462686,52203.9297530214,0.1591902378348233,0.1645569620253164,42447.75853817998,Crawfordsville-TP2-4351,15,17,28500.0,19.32,176.43,57.0,,,,,,,,,,,0.0,232.0,Crawfordsville,TP2,4351
45,Crawfordsville-TP2-4351_15_18,78.48538279723034,76.0,20720455,106.56263920243632,105.0,28132963,67.72465568703504,65.0,17879580,0.1896673075326331,0.1893805309734513,50072.92785784528,0.1470339067192365,0.154228855721393,38817.539509505325,Crawfordsville-TP2-4351,15,18,30500.0,18.81,166.43,61.0,,,,,,,,,,,3.28,206.0,Crawfordsville,TP2,4351
46,Crawfordsville-TP2-4351_15_19,64.70590649462139,59.0,17185177,86.82213118766214,82.0,23059003,59.34979987876004,50.0,15762654,0.1653484460007986,0.1824817518248175,43914.72842490612,0.1374190692648649,0.152,36496.99318698622,Crawfordsville-TP2-4351,15,19,,,,,,,,,,,,,,,,,Crawfordsville,TP2,4351
47,Crawfordsville-TP2-4351_15_20,80.48120928806806,78.0,21003986,108.30023756609702,109.0,28264196,71.68285692390222,71.0,18707792,0.1792701705136035,0.1772151898734177,46785.92910064024,0.1482842587984021,0.1531531531531531,38699.225861207,Crawfordsville-TP2-4351,15,20,32500.0,20.05,186.26,65.0,,,,,,,,,,,0.0,218.0,Crawfordsville,TP2,4351
48,Crawfordsville-TP2-4351_16_13,83.57154079628637,80.0,21063789,118.42096847785118,118.0,29847413,73.55229423317265,71.0,18538488,0.2120936837139015,0.2071611253196931,53457.15251167031,0.1777362223107311,0.1806451612903225,44797.52615230823,Crawfordsville-TP2-4351,16,13,31000.0,20.15,175.95,62.0,,,,,,,,,,,0.0,263.0,Crawfordsville,TP2,4351
49,Crawfordsville-TP2-4351_16_14,89.65727876523223,87.0,24257763,122.40167651657111,124.0,33117120,76.2098861254948,75.0,20619423,0.2014797053268927,0.1974921630094044,54512.55055294941,0.1591222008487556,0.1629392971246006,43052.261783840186,Crawfordsville-TP2-4351,16,14,35000.0,16.74,153.75,70.0,,,,,,,,,,,0.0,263.0,Crawfordsville,TP2,4351
50,Crawfordsville-TP2-4351_16_15,95.61633019963294,95.0,25528604,124.5563803887786,128.0,33255308,82.27383048054234,82.0,21966290,0.1732437360913509,0.1688693098384728,46254.34509902979,0.1337734143535869,0.1351351351351351,35716.16389826419,Crawfordsville-TP2-4351,16,15,29000.0,17.23,158.43,58.0,,,,,,,,,,,0.0,221.0,Crawfordsville,TP2,4351
51,Crawfordsville-TP2-4351_16_16,88.66558931183171,87.0,23400445,120.21657105616138,122.0,31727317,73.8519199145189,72.0,19490851,0.1971458952264822,0.1962616822429906,52030.35037638275,0.1495068898766044,0.1555555555555555,39457.55936245368,Crawfordsville-TP2-4351,16,16,29000.0,18.62,170.03,58.0,,,,,,,,,,,1.72,240.0,Crawfordsville,TP2,4351
52,Crawfordsville-TP2-4351_16_17,91.17556063930778,90.0,23434672,121.17601195200524,124.0,31145628,78.88604743452075,78.0,20275923,0.1811097031222678,0.1779527559055118,46550.26477411025,0.141106656051601,0.1449814126394052,36268.36159163091,Crawfordsville-TP2-4351,16,17,31500.0,14.67,139.98,63.0,,,,,,,,,,,0.0,225.0,Crawfordsville,TP2,4351
53,Crawfordsville-TP2-4351_16_18,84.56063602790316,79.0,20607427,113.49442757488715,111.0,27658592,70.46994665572426,66.0,17173526,0.1983307959395212,0.1936056838365897,48333.214970461326,0.150510773086948,0.1521739130434782,36679.47540128923,Crawfordsville-TP2-4351,16,18,26500.0,19.46,172.18,53.0,,,,,,,,,,,1.89,234.0,Crawfordsville,TP2,4351
54,Crawfordsville-TP2-4351_16_19,85.4443212707476,82.0,22506376,112.32356000668176,114.0,29586475,73.11039695676604,73.0,19257571,0.1798366073034646,0.1777777777777777,47369.68171016179,0.1408347982258376,0.1448275862068965,37096.44919187853,Crawfordsville-TP2-4351,16,19,30000.0,15.2,139.6,60.0,,,,,,,,,,,0.0,215.0,Crawfordsville,TP2,4351
55,Crawfordsville-TP2-4351_16_20,72.32376673534458,69.0,18464113,104.3780954022358,103.0,26647519,65.3721102397982,63.0,16689369,0.2118169228586572,0.2106824925816023,54076.43677196947,0.1833724320183221,0.1904761904761904,46814.61514941361,Crawfordsville-TP2-4351,16,20,35500.0,19.01,176.39,71.0,,,,,,,,,,,7.04,208.0,Crawfordsville,TP2,4351
56,Crawfordsville-TP2-4351_17_13,85.69433151100326,82.0,21646988,113.30794079340636,112.0,28622379,71.82156868178633,69.0,18142631,0.189376242986027,0.1835205992509363,47837.76461197134,0.1427608972032329,0.1428571428571428,36062.401959817056,Crawfordsville-TP2-4351,17,13,32500.0,20.4,177.27,65.0,,,,,,,,,,,1.54,234.0,Crawfordsville,TP2,4351
57,Crawfordsville-TP2-4351_17_14,89.49274827046648,77.0,22534453,113.97780796022272,110.0,28699840,84.34048974988285,67.0,21237104,0.1623023970472885,0.1858407079646017,40868.06818130135,0.1342849252199393,0.1529411764705882,33813.21274023115,Crawfordsville-TP2-4351,17,14,,,,,,,,,,,,,,,,,Crawfordsville,TP2,4351
58,Crawfordsville-TP2-4351_17_15,83.49512655242886,81.0,21244500,115.52304669077188,115.0,29393684,71.29343656657758,68.0,18139902,0.2025755622270701,0.2015810276679842,51543.32605305572,0.1578664581587301,0.1652173913043478,40167.5416139073,Crawfordsville-TP2-4351,17,15,29000.0,14.15,131.75,58.0,,,,,,,,,,,25.86,219.0,Crawfordsville,TP2,4351
59,Crawfordsville-TP2-4351_17_16,89.05024872820108,88.0,23718979,120.47837660265436,123.0,32090018,80.68748099341104,80.0,21491514,0.1786005683130866,0.1758241758241758,47571.1543730322,0.1492204957624112,0.1535269709543568,39745.62514879706,Crawfordsville-TP2-4351,17,16,31000.0,19.8,181.43,62.0,,,,,,,,,,,11.29,261.0,Crawfordsville,TP2,4351
