file_,GRVI_mean,GRVI_median,GRVI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp
Ames-TP3-4231_1_6,0.13258985240714993,0.12751677852348994,19.09293874662959,-0.13258985240714993,-0.12751677852348994,-19.09293874662959,61.38194444444444,62.0,8839,79.20833333333333,79.0,11406,66.81944444444444,67.5,9622,0.108891455558976,0.1062328077826232,15.680369600492549,Ames-TP3-4231,1,6,,,,,,,,,,,,,,,,,Ames,TP3,4231
Ames-TP3-4231_1_7,0.11598568666878882,0.10810810810810811,16.70193888030559,-0.11598568666878882,-0.10810810810810811,-16.70193888030559,66.79166666666667,68.0,9618,83.60416666666667,84.0,12039,68.92361111111111,70.0,9925,0.1063198397730657,0.1004973827675332,15.310056927321474,Ames-TP3-4231,1,7,,,,,,,,,,,,,,,,,Ames,TP3,4231
Ames-TP3-4231_20_2,0.1622030747077356,0.16129032258064516,23.357242757913927,-0.1622030747077356,-0.16129032258064516,-23.357242757913927,61.020833333333336,60.0,8787,84.1875,84.0,12123,69.18055555555556,69.0,9962,0.1293673818839119,0.127860953364309,18.62890299128332,Ames-TP3-4231,20,2,35500.0,21.67,183.75,71.0,,,,,,,,,,,2.82,216.0,Ames,TP3,4231
Ames-TP3-4231_20_3,0.14768285521512783,0.14285714285714285,21.26633115097841,-0.14768285521512783,-0.14285714285714285,-21.26633115097841,62.02777777777778,63.0,8932,82.85416666666667,84.0,11931,68.88194444444444,70.0,9919,0.1197128431631816,0.1162790697674418,17.238649415498163,Ames-TP3-4231,20,3,30500.0,11.68,112.56,61.0,,,,,,,,,,,0.0,193.0,Ames,TP3,4231
Ames-TP3-4231_20_4,0.14434520477951066,0.14285714285714285,20.785709488249534,-0.14434520477951066,-0.14285714285714285,-20.785709488249534,66.18055555555556,66.0,9530,87.99305555555556,88.0,12671,71.76388888888889,73.0,10334,0.1229811082328918,0.1212572176915292,17.709279585536418,Ames-TP3-4231,20,4,35000.0,13.78,112.79,70.0,,,,,,,,,,,0.0,232.0,Ames,TP3,4231
Ames-TP3-4231_20_5,0.13318122693198334,0.12751677852348994,19.178096678205602,-0.13318122693198334,-0.12751677852348994,-19.178096678205602,64.03472222222223,65.0,9221,83.17361111111111,84.0,11977,68.99305555555556,70.0,9935,0.1133138062441329,0.1091999710919997,16.31718809915515,Ames-TP3-4231,20,5,32000.0,13.53,124.98,64.0,,,,,,,,,,,0.0,221.0,Ames,TP3,4231
Ames-TP3-4231_20_6,0.13481022663651543,0.13333333333333333,19.41267263565822,-0.13481022663651543,-0.13333333333333333,-19.41267263565822,64.14583333333333,63.0,9237,83.59722222222223,84.0,12038,70.06944444444444,70.0,10090,0.1112735480893117,0.111487758945386,16.02339092486089,Ames-TP3-4231,20,6,34000.0,15.91,139.76,68.0,,,,,,,,,,,4.41,,Ames,TP3,4231
Ames-TP3-4231_20_7,0.15240746576003417,0.14473684210526316,21.94667506944492,-0.15240746576003417,-0.14473684210526316,-21.94667506944492,63.46527777777778,65.0,9139,85.21527777777777,85.0,12271,68.76388888888889,70.0,9902,0.1299670027921343,0.1246006389776357,18.715248402067346,Ames-TP3-4231,20,7,35500.0,13.41,115.26,71.0,,,,,,,,,,,0.0,240.0,Ames,TP3,4231
Ames-TP3-4231_21_2,0.1268697121269346,0.12180475272960822,18.269238546278583,-0.1268697121269346,-0.12180475272960822,-18.269238546278583,79.70138888888889,81.0,11477,101.95833333333331,103.0,14682,80.30555555555556,80.0,11564,0.1234126819806003,0.1195567867036011,17.77142620520645,Ames-TP3-4231,21,2,36000.0,6.36,63.36,72.0,,,,,,,,,,,0.0,211.0,Ames,TP3,4231
Ames-TP3-4231_21_3,0.14025265363524453,0.1388888888888889,20.196382123475214,-0.14025265363524453,-0.1388888888888889,-20.196382123475214,66.01388888888889,66.0,9506,87.0,87.0,12528,69.5625,70.0,10017,0.1261308830185792,0.1262267486792932,18.162847154675404,Ames-TP3-4231,21,3,30000.0,16.72,137.73,60.0,,,,,,,,,,,0.0,203.0,Ames,TP3,4231
Ames-TP3-4231_21_4,0.13338091178187705,0.12786095336430908,19.206851296590298,-0.13338091178187705,-0.12786095336430908,-19.206851296590298,66.38888888888889,66.0,9560,86.02083333333333,85.0,12387,72.23611111111111,71.0,10402,0.1102473720196463,0.107592082184916,15.87562157082908,Ames-TP3-4231,21,4,31000.0,12.06,95.28,62.0,,,,,,,,,,,0.0,246.0,Ames,TP3,4231
Ames-TP3-4231_21_5,0.14884604406634294,0.14864864864864866,21.433830345553382,-0.14884604406634294,-0.14864864864864866,-21.433830345553382,64.625,65.0,9306,86.60416666666667,87.0,12471,70.33333333333333,70.0,10128,0.1263738462869042,0.1262135922330097,18.19783386531421,Ames-TP3-4231,21,5,35500.0,11.31,105.18,71.0,,,,,,,,,,,0.0,231.0,Ames,TP3,4231
Ames-TP3-4231_21_6,0.13541931420579012,0.13697277472139935,19.500381245633776,-0.13541931420579012,-0.13697277472139935,-19.500381245633776,64.125,63.0,9234,83.73611111111111,84.0,12058,70.65972222222223,70.0,10175,0.1097363517558998,0.1118427465208209,15.80203465284958,Ames-TP3-4231,21,6,34500.0,15.6,125.39,69.0,,,,,,,,,,,0.0,238.0,Ames,TP3,4231
Ames-TP3-4231_21_7,0.16656724797207847,0.16312056737588654,23.9856837079793,-0.16656724797207847,-0.16312056737588654,-23.9856837079793,59.44444444444444,60.0,8560,82.28472222222223,84.0,11849,66.40972222222223,67.0,9563,0.1365580972438713,0.1347317466720451,19.66436600311747,Ames-TP3-4231,21,7,31500.0,19.89,173.47,63.0,,,,,,,,,,,0.0,231.0,Ames,TP3,4231
Ames-TP3-4231_22_2,0.13929226884874446,0.13725490196078433,20.0580867142192,-0.13929226884874446,-0.13725490196078433,-20.0580867142192,65.59027777777777,66.0,9445,86.13888888888889,87.0,12404,70.875,71.0,10206,0.1183960461830355,0.1189710610932476,17.04903065035711,Ames-TP3-4231,22,2,30000.0,11.86,99.32,60.0,,,,,,,,,,,6.67,205.0,Ames,TP3,4231
Ames-TP3-4231_22_3,0.11955731066349069,0.12153128643606684,17.21625273554266,-0.11955731066349069,-0.12153128643606684,-17.21625273554266,69.25694444444444,70.0,9973,87.60416666666667,88.0,12615,73.06944444444444,73.5,10522,0.1051666836627924,0.1073173569101907,15.144002447442109,Ames-TP3-4231,22,3,28000.0,15.73,141.99,56.0,,,,,,,,,,,0.0,198.0,Ames,TP3,4231
Ames-TP3-4231_22_4,0.13317321279621722,0.1282051282051282,19.17694264265528,-0.13317321279621722,-0.1282051282051282,-19.17694264265528,69.6875,70.0,10035,90.60416666666669,91.0,13047,73.77777777777777,74.0,10624,0.1179873228939106,0.1164217434726779,16.99017449672313,Ames-TP3-4231,22,4,35500.0,8.52,75.38,71.0,,,,,,,,,,,0.0,241.0,Ames,TP3,4231
Ames-TP3-4231_22_5,0.1530559024798062,0.14879240943070732,22.04004995709209,-0.1530559024798062,-0.14879240943070732,-22.04004995709209,61.43055555555556,62.0,8846,83.05555555555556,84.0,11960,67.04166666666667,67.0,9654,0.1299184210279814,0.127147766323024,18.70825262802932,Ames-TP3-4231,22,5,32500.0,12.75,123.54,65.0,,,,,,,,,,,0.0,194.0,Ames,TP3,4231
Ames-TP3-4231_22_6,0.15709572749265843,0.15151515151515152,22.621784758942816,-0.15709572749265843,-0.15151515151515152,-22.621784758942816,56.40972222222222,56.5,8123,76.88888888888889,77.0,11072,65.08333333333333,65.0,9372,0.1191668519104775,0.1142857142857142,17.160026675108767,Ames-TP3-4231,22,6,,,,,,,,,,,,,,,,,Ames,TP3,4231
Ames-TP3-4231_22_7,0.18470241296108303,0.17391304347826086,26.597147466395956,-0.18470241296108303,-0.17391304347826086,-26.597147466395956,54.451388888888886,56.0,7841,78.20138888888889,79.0,11261,63.68055555555556,64.0,9170,0.14270345410033,0.1386314552065392,20.54929739044752,Ames-TP3-4231,22,7,,,,,,,,,,,,,,,,,Ames,TP3,4231
Ames-TP3-4231_23_2,0.16210539864961504,0.15873015873015872,23.343177405544566,-0.16210539864961504,-0.15873015873015872,-23.343177405544566,53.97222222222222,54.0,7772,74.03472222222223,75.0,10661,62.79861111111112,64.0,9043,0.1212288393045872,0.1194029850746268,17.456952859860568,Ames-TP3-4231,23,2,,,,,,,,,,,,,,,,,Ames,TP3,4231
Ames-TP3-4231_23_3,0.13219939442445552,0.1366906474820144,19.036712797121595,-0.13219939442445552,-0.1366906474820144,-19.036712797121595,61.31944444444444,60.0,8830,79.625,79.0,11466,67.22916666666667,67.0,9681,0.1079745993676431,0.1087719298245614,15.54834230894062,Ames-TP3-4231,23,3,33000.0,15.75,142.83,66.0,,,,,,,,,,,3.03,210.0,Ames,TP3,4231
