location,model,Date,image,time,r2_mean,count,r2_sd,r2_se
Lincoln,LR,2022-09-27,Satellite,TP6,0.189641328174488,5,0.171453794659512,0.076676467971792
Lincoln,PLSR,2022-07-13,UAV,TP1,0.414656375737498,5,0.048602283748526,0.0217356020646875
Lincoln,PLSR,2022-07-28,UAV,TP2,0.441679630165205,5,0.089135791218405,0.0398627376785165
Lincoln,PLSR,2022-08-04,UAV,TP3,0.382356195302633,5,0.076062809008404,0.0340163223004749
Lincoln,PSLR,2022-07-18,Satellite,TP1,0.33242126310297,5,0.107202089665839,0.0479422319645687
Lincoln,PSLR,2022-08-06,Satellite,TP2,0.339297017272253,5,0.0729045192721309,0.0326038921918857
Lincoln,PSLR,2022-09-03,Satellite,TP3,0.203925122973545,5,0.147579019511027,0.0659993439358851
Lincoln,PSLR,2022-09-11,Satellite,TP4,0.426947436897158,5,0.114126855485704,0.0510390813848658
Lincoln,PSLR,2022-09-19,Satellite,TP5,0.390721560815548,5,0.0560801042046923,0.0250797850373927
Lincoln,PSLR,2022-09-27,Satellite,TP6,0.353972092933127,5,0.079183894665523,0.0354121142390585
Lincoln,RF,2022-07-13,UAV,TP1,0.345906309398873,5,0.0544296230288502,0.0243416674164394
Lincoln,RF,2022-07-18,Satellite,TP1,0.357921306783694,5,0.14093744678715,0.0630291423182652
Lincoln,RF,2022-07-28,UAV,TP2,0.441802257754427,5,0.104648169927454,0.0468000843357473
Lincoln,RF,2022-08-04,UAV,TP3,0.380386314818442,5,0.117700743731286,0.0526373727970877
Lincoln,RF,2022-08-06,Satellite,TP2,0.380992473619598,5,0.0582970100878478,0.0260712154882837
Lincoln,RF,2022-09-03,Satellite,TP3,0.28478086397744,5,0.142468516980065,0.0637138577242019
Lincoln,RF,2022-09-11,Satellite,TP4,0.403023880624037,5,0.133113530749226,0.0595301806960554
Lincoln,RF,2022-09-19,Satellite,TP5,0.390034155817629,5,0.0759225679659686,0.0339536045996507
Lincoln,RF,2022-09-27,Satellite,TP6,0.392689248905076,5,0.0533797072423243,0.023872130802575
Lincoln,SVM,2022-07-13,UAV,TP1,0.344772447892213,5,0.043919894892545,0.0196415741088753
Lincoln,SVM,2022-07-18,Satellite,TP1,0.298597702506727,5,0.113946206633408,0.0509582927621076
Lincoln,SVM,2022-07-28,UAV,TP2,0.402836292219884,5,0.0908424983670081,0.0406260003189088
Lincoln,SVM,2022-08-04,UAV,TP3,0.344819535016219,5,0.120879723859055,0.0540590559300498
Lincoln,SVM,2022-08-06,Satellite,TP2,0.323493992704058,5,0.0649311582997389,0.0290380967632032
Lincoln,SVM,2022-09-03,Satellite,TP3,0.283087906753381,5,0.139959417504723,0.062591754326367
Lincoln,SVM,2022-09-11,Satellite,TP4,0.354034849521048,5,0.143838617921961,0.0643265854926247
Lincoln,SVM,2022-09-19,Satellite,TP5,0.36170457643247,5,0.0678459646544198,0.0303416377932661
Lincoln,SVM,2022-09-27,Satellite,TP6,0.371156977508442,5,0.0635160937327097,0.0284052606503174
Missouri Valley,GB,2022-07-13,Satellite,TP1,0.106356622006719,5,0.0641232551569836,0.0286767914939159
Missouri Valley,GB,2022-07-13,UAV,TP1,0.102565033827097,5,0.0628460464326941,0.0281056063881225
Missouri Valley,GB,2022-07-21,Satellite,TP2,0.134264231241739,5,0.147347624375177,0.0658958608852002
