index,qrCode,location,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,totalStandCount,block,range,row,plotNumber,genotype,plantingDate,anthesisDate,silkDate,daysToAnthesis,daysToSilk,anthesisSilkingInterval,GDDToAnthesis,GDDToSilk,anthesisSilkingIntervalGDD,earHeight,flagLeafHeight,plantDensity,combineYield,yieldPerAcre,combineMoisture,combineTestWeight,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,shelledCobMass,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,kernelColor,percentLodging,harvestDate,notes,rangeRow,file_,NGRDI_mean,range_y,row_y,predicted,residual
1510,MV$HYBRID-HIPS$REP2$PLOT33$ROW23$RANGE32$PHP02 X LH145,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,50,1,23,32,133,PHN46 X W606S,2022-04-29,,,,,,,,,92,205,25000,18.02,169.1,10.8,60.6,15.5,12.2,4.1,3,26,14,344,27.1,89.4,17.8,5.26,72.73,7.85,4.35,0.24,0.83,yellow,10,2022-10-11,,32-23,MOValley-TP1-Hybrids_23_32,-0.167539511959367,23,32,55.3002617791624,-5.3002617791624
1511,MV$HYBRID-HIPS$REP2$PLOT34$ROW25$RANGE32$PHN46 X PHB47,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,63,1,25,32,134,B37 X MO17,2022-04-29,,,,,,,,,109,229,31500,16.94,156.12,12.4,60,18.2,17.8,4,2.9,44,13,521,29.7,152.8,28.2,5.09,68.5,8.42,4.14,1.18,1.05,yellow,3.17,2022-10-11,,32-25,MOValley-TP1-Hybrids_25_32,-0.24081684980622,25,32,67.5995201721287,-4.59952017212865
1512,MV$HYBRID-HIPS$REP2$PLOT35$ROW27$RANGE32$WF9 X H95,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,60,1,27,32,135,LH195 X PHZ51,2022-04-29,,,,,,,,,95,228,30000,15.47,145.99,10.3,62.5,18.2,16.8,3.6,2.6,34.5,13.5,409,29.2,116.7,25.3,4.68,71.2,9.38,4.41,0.48,1.01,yellow,0,2022-10-11,,32-27,MOValley-TP1-Hybrids_27_32,-0.200785318718095,27,32,60.8804149318711,-0.88041493187113
1513,MV$HYBRID-HIPS$REP2$PLOT36$ROW29$RANGE32$PHB47 X 3IIH6,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,65,1,29,32,136,PHB47 X PHK56,2022-04-29,,,,,,,,,83,214,32500,17.56,165.9,10.2,60.8,15.2,13.9,3.5,2,38.8,14.5,489,20.9,103.8,18.4,5.36,68.44,8.71,3.85,0.93,0.89,yellow,1.54,2022-10-11,,32-29,MOValley-TP1-Hybrids_29_32,-0.211200771152569,29,32,62.6285999033145,2.37140009668553
1514,MV$HYBRID-HIPS$REP2$PLOT37$ROW23$RANGE33$LH82 X W606S,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,58,1,23,33,137,PHP02 X LH185,2022-04-29,,,,,,,,,109,235,29000,18.55,174.08,10.8,58.3,18.1,17.8,3.9,2.4,41,14.5,566,27.8,161.6,21.1,5.21,71.04,8.1,4.19,1.21,1.18,yellow,1.72,2022-10-11,,33-23,MOValley-TP1-Hybrids_23_33,-0.182000548727511,23,33,57.7274791572461,0.272520842753949
1515,MV$HYBRID-HIPS$REP2$PLOT38$ROW25$RANGE33$COMMERCIAL HYBRID 3,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,65,1,25,33,138,B37 X H95,2022-04-29,,,,,,,,,107,211,32500,14.69,137.85,10.8,63.2,15.8,14.4,4.2,2.9,33.5,17,508,22.3,109.8,24.3,4.88,69.57,9.23,4.81,0.72,0.89,yellow,0,2022-10-11,,33-25,MOValley-TP1-Hybrids_25_33,-0.215837912884862,25,33,63.4069224522242,1.59307754777585
1516,MV$HYBRID-HIPS$REP2$PLOT39$ROW27$RANGE33$B73 X 3IIH6,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,68,1,27,33,139,LH123HT X 3IIH6,2022-04-29,,,,,,,,,97,210,34000,10.02,94.56,10.3,58.3,18.9,18.8,4.4,2.5,39.5,15.5,584,27.4,162.8,33.5,4.85,69.36,10.16,4.16,1.15,0.94,yellow,16.18,2022-10-11,,33-27,MOValley-TP1-Hybrids_27_33,-0.191966213427023,27,33,59.4001693613188,8.5998306386812
1517,MV$HYBRID-HIPS$REP2$PLOT40$ROW29$RANGE33$4N506 X 3IIH6,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,64,1,29,33,140,PHZ51 X LH145,2022-04-29,,,,,,,,,87,217,32000,13.55,128.01,10.2,59.7,18.8,17.2,3.2,2.4,40.8,15.5,569,20.6,120.7,24,5.32,70.34,8.28,3.3,1.06,0.93,yellow,3.12,2022-10-11,,33-29,MOValley-TP1-Hybrids_29_33,-0.222696153448572,29,33,64.5580460504979,-0.558046050497921
1518,MV$HYBRID-HIPS$REP2$PLOT41$ROW23$RANGE34$COMMERCIAL HYBRID 1,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,64,1,23,34,141,SYNGENTA NK0760-3111,2022-04-29,,,,,,,,,89,182,32000,18.88,177.17,10.8,59.1,17.5,16.6,4,2.4,41,15.8,597,27.5,157.5,25.5,4.92,71.82,7.94,3.89,1.9,1.34,yellow,3.12,2022-10-11,,34-23,MOValley-TP1-Hybrids_23_34,-0.20738511485185,23,34,61.9881598414856,2.01184015851439
1519,MV$HYBRID-HIPS$REP2$PLOT42$ROW25$RANGE34$PHK56 X PHJ89,Missouri Valley,Missouri Valley,0,Medium,175,LC_4211,17.5,63,1,25,34,142,LH195 X 3IIH6,2022-04-29,,,,,,,,,112,195,31500,19.16,180,10.7,56.8,18.2,17,4,2.4,38.5,15.5,568,27.3,153.5,25.4,4.77,68.21,8.14,4.35,1.06,1.29,yellow,0,2022-10-11,,34-25,MOValley-TP1-Hybrids_25_34,-0.18565839975758,25,34,58.3414323425517,4.65856765744826
