file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,GRVI_mean,GRVI_median,GRVI_sum,field,range,row,exp,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,genotype
Scottsbluff-TP2-n225_15_23,150.15704066375443,146.0,20486826,159.33174528716762,158.0,21738586,139.4729836699991,134.0,19029136,0.0515851629230152,0.0434782608695652,7038.073288564505,-0.0322869119295516,-0.032258064516129,-4405.097116020307,0.0322869119295516,0.032258064516129,4405.097116020307,Scottsbluff-TP2-n225,15,23,n225,,22.13,152.47,,74.0,1393.15,77.0,1459.11,7.67,69.94,8.62,3.71,1.06,1.22,,178.0,PHP02 X PHK76
Scottsbluff-TP2-n225_15_24,146.6125717452978,141.0,20103076,150.8255723214481,149.0,20680750,136.89972067650254,130.0,18771279,0.0348249016024568,0.0264150943396226,4775.086033024078,-0.0173114920856623,-0.0119047619047619,-2373.69986030976,0.0173114920856623,0.0119047619047619,2373.69986030976,Scottsbluff-TP2-n225,15,24,n225,,8.29,56.64,,74.0,1393.15,77.0,1459.11,8.19,70.13,8.26,4.04,1.87,1.48,,165.0,PHN46 X PHK56
Scottsbluff-TP2-n225_15_25,147.56598666696328,140.0,19899716,153.82677433946594,150.0,20744002,134.4010589308358,125.0,18124386,0.048006686836538,0.037037037037037,6473.845739967667,-0.0232464923704249,-0.0179640718562874,-3134.859235628912,0.0232464923704249,0.0179640718562874,3134.859235628912,Scottsbluff-TP2-n225,15,25,n225,,19.71,134.67,,73.0,1371.7,75.0,1414.31,8.92,70.76,8.89,3.93,0.77,1.17,,178.0,PHK76 X W606S
Scottsbluff-TP2-n225_15_26,135.81700895973935,128.0,18675382,142.85431696532464,139.0,19643040,121.75263265068652,114.0,16741474,0.0579352014823704,0.0530035335689045,7966.321944631871,-0.029051235047167,-0.0304981397271599,-3994.6610239256615,0.029051235047167,0.0304981397271599,3994.6610239256615,Scottsbluff-TP2-n225,15,26,n225,,20.32,137.51,,69.0,1286.36,72.0,1350.26,8.45,71.0,9.46,3.35,1.22,1.3,,137.0,PHP02 X LH82
Scottsbluff-TP2-n225_16_20,155.05919490124165,152.0,20630936,157.54991281604185,156.0,20962331,131.49520488230166,126.0,17495700,0.051854937128163,0.046875,6899.403094776346,-0.0100224362141535,-0.0075757575757575,-1333.505183165557,0.0100224362141535,0.0075757575757575,1333.505183165557,Scottsbluff-TP2-n225,16,20,n225,,30.19,206.27,,72.0,1350.26,75.0,1414.31,8.81,70.82,8.86,3.63,1.72,1.39,,188.0,PHP02 X PHK56
Scottsbluff-TP2-n225_16_21,150.64637996325598,145.0,20089448,150.6090585279892,150.0,20084471,134.36085636084135,126.0,17917692,0.031433477694899,0.0242214532871972,4191.81141800326,-0.0023808320065877,0.0021321961620469,-317.49585223851,0.0023808320065877,-0.0021321961620469,317.49585223851,Scottsbluff-TP2-n225,16,21,n225,,23.23,161.38,,70.0,1309.51,75.0,1414.31,8.75,70.9,8.63,3.8,1.1,1.31,,173.0,PHP02 X PHG47
Scottsbluff-TP2-n225_16_22,148.85792849924573,145.0,20327741,151.93418913575184,152.0,20747829,130.49969243837782,124.0,17820777,0.0464518848027604,0.033033033033033,6343.376484895367,-0.0130760847940472,-0.0050761421319796,-1785.6439873055017,0.0130760847940472,0.0050761421319796,1785.6439873055017,Scottsbluff-TP2-n225,16,22,n225,,,,,72.0,1350.26,75.0,1414.31,8.36,72.01,7.94,3.45,1.13,1.18,,157.0,PHK76 X LH82
Scottsbluff-TP2-n225_16_23,150.46325472806296,146.0,20494299,155.47274022083872,154.0,21176631,131.4859332785152,125.0,17909436,0.0529346547132589,0.0455106193468308,7210.12344918358,-0.0183316252721441,-0.0142180094786729,-2496.9140150682138,0.0183316252721441,0.0142180094786729,2496.9140150682138,Scottsbluff-TP2-n225,16,23,n225,,27.78,183.21,,75.0,1414.31,78.0,1483.45,8.19,74.47,7.23,3.66,1.24,1.26,,170.0,HOEGEMEYER 8065RR
Scottsbluff-TP2-n225_16_24,142.94845941242707,137.0,19550489,154.19989617302545,152.0,21089303,127.4224880452744,121.0,17427064,0.0719728165469106,0.0657894736842105,9843.434227854785,-0.0416998838438949,-0.0408163265306122,-5703.126313794136,0.0416998838438949,0.0408163265306122,5703.126313794136,Scottsbluff-TP2-n225,16,24,n225,,4.73,,,76.0,1437.65,79.0,1509.4,8.77,70.42,8.66,3.83,1.41,1.41,,155.0,PHP02 X PHN46
Scottsbluff-TP2-n225_16_25,144.2919524919525,137.0,19498893,152.75694675694675,150.0,20642810,131.55811595811596,123.0,17778106,0.0575798556544582,0.0482758620689655,7781.05379386522,-0.0330510078139197,-0.0299727520435967,-4466.347940934041,0.0330510078139197,0.0299727520435967,4466.347940934041,Scottsbluff-TP2-n225,16,25,n225,,16.51,113.88,,69.0,1286.36,72.0,1350.26,7.89,72.6,8.47,2.81,1.24,1.06,,175.0,PHK76 X LH145
Scottsbluff-TP2-n225_16_26,133.83405621667484,126.0,18297926,144.98628593997995,141.0,19822670,123.76681709466725,115.0,16921523,0.0677238688555637,0.0655509065550906,9259.275073801531,-0.0464720886003309,-0.0514285714285714,-6353.710425525841,0.0464720886003309,0.0514285714285714,6353.710425525841,Scottsbluff-TP2-n225,16,26,n225,,19.38,137.65,,73.0,1371.7,75.0,1414.31,8.61,71.28,8.82,3.55,2.27,1.43,,173.0,PHK56 X LH145
Scottsbluff-TP2-n225_17_20,148.52180968117187,143.0,20044949,150.62216311137126,149.0,20328419,130.4277468639553,124.0,17602920,0.0415349105090513,0.0360655737704918,5605.6761270330935,-0.0090854237574226,-0.0065359477124183,-1226.1960465730374,0.0090854237574226,0.0065359477124183,1226.1960465730374,Scottsbluff-TP2-n225,17,20,n225,,28.06,182.31,,73.0,1371.7,78.0,1483.45,10.04,70.42,9.25,3.48,1.81,1.17,,173.0,LH123HT X PHB47
Scottsbluff-TP2-n225_17_21,152.4127304404801,148.0,20470249,157.25524912886797,156.0,21120638,136.28949131846204,130.0,18304769,0.0455902359088998,0.0383747178329571,6123.133404452523,-0.0168605411763019,-0.0136986301369863,-2264.505564306761,0.0168605411763019,0.0136986301369863,2264.505564306761,Scottsbluff-TP2-n225,17,21,n225,,28.48,185.73,,70.0,1309.51,73.0,1371.7,9.24,69.6,9.05,3.64,1.35,1.31,,190.0,PHP02 X LH198
Scottsbluff-TP2-n225_17_22,153.21409714306725,148.0,20834819,154.7538772658749,154.0,21044206,131.6632202081112,125.0,17904223,0.0467065409789559,0.036144578313253,6351.388975023327,-0.0079941490961114,-0.0026954177897574,-1087.0843648347127,0.0079941490961114,0.0026954177897574,1087.0843648347127,Scottsbluff-TP2-n225,17,22,n225,,18.71,127.99,,74.0,1393.15,77.0,1459.11,8.64,69.49,8.58,3.62,1.3,1.3,,163.0,PHK56 X LH82
Scottsbluff-TP2-n225_17_23,153.53318198462102,149.0,20964956,159.9320908092274,159.0,21838727,118.98396191871107,112.0,16247260,0.0845868489586559,0.0761061946902654,11550.334225304468,-0.0214958362583142,-0.0177646285338593,-2935.2564410728137,0.0214958362583142,0.0177646285338593,2935.2564410728137,Scottsbluff-TP2-n225,17,23,n225,,23.09,153.04,,74.0,1393.15,77.0,1459.11,8.26,71.22,7.92,3.85,1.06,1.22,,178.0,PHK76 X LH198
Scottsbluff-TP2-n225_17_24,148.98206201859523,143.0,20173810,156.963902489458,155.0,21254639,121.33919696331908,114.0,16430662,0.0803333647681361,0.0748560460652591,10878.021256618087,-0.0289460031688661,-0.0259740259740259,-3919.60723509934,0.0289460031688661,0.0259740259740259,3919.60723509934,Scottsbluff-TP2-n225,17,24,n225,,0.85,,,79.0,1509.4,82.0,1573.4,8.35,70.99,8.0,4.17,1.48,1.44,,163.0,PHK56 X 3IIH6
