,file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum,field,range,row,plantDensity,combineYield,yieldPerAcre,totalStandCount,daysToAnthesis,GDDToAnthesis,daysToSilk,GDDToSilk,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,percentLodging,flagLeafHeight,location,Timepoint,exp
475,Crawfordsville-TP5-4353_34_45,1022.97,1052.0,204594,796.765,817.5,159353,662.295,681.0,132459,-0.0250081013285635,-0.0265289516107957,-5.001620265712707,-0.1187424156694025,-0.1224588227031805,-23.74848313388052,0.2408724471294185,0.236349026198201,48.174489425883706,0.1139646842175832,0.119302344385805,22.79293684351664,1306.295,1334.5,261259,560.75,567.5,112150,Crawfordsville-TP5-4353,34,45,28500.0,17.68,160.15,57.0,,,,,,,,,,,0.0,212.0,Crawfordsville,TP5,4353
476,Crawfordsville-TP5-4353_34_46,932.2745098039215,941.5,190184,721.4656862745098,735.0,147179,600.7401960784314,607.5,122551,-0.0269342760319878,-0.0294250165775583,-5.494592310525518,-0.1211254535013481,-0.1260158749948053,-24.709592514275013,0.2404935474011894,0.2384363801306833,49.06068366984264,0.1156217456839805,0.1178854245612623,23.586836119532027,1184.8480392156862,1189.5,241709,524.9705882352941,530.5,107094,Crawfordsville-TP5-4353,34,46,34000.0,20.7,181.41,68.0,,,,,,,,,,,0.0,234.0,Crawfordsville,TP5,4353
477,Crawfordsville-TP5-4353_35_42,1036.695652173913,1019.0,214596,800.6183574879227,787.0,165728,659.2512077294685,651.0,136465,-0.0252194706745434,-0.0279550957517059,-5.220430429630497,-0.1217190580142517,-0.1278195488721804,-25.19584500895012,0.2359611029554353,0.230829420970266,48.84394831177512,0.109522098399103,0.113454777884308,22.67107436861433,1315.9565217391305,1294.0,272403,556.2753623188406,561.0,115149,Crawfordsville-TP5-4353,35,42,34000.0,16.65,152.39,68.0,,,,,,,,,,,0.0,209.0,Crawfordsville,TP5,4353
478,Crawfordsville-TP5-4353_35_43,1076.0239234449762,1101.0,224889,819.0526315789474,842.0,171182,666.6555023923445,682.0,139331,-0.0263729494881201,-0.0286062081558125,-5.511946443017107,-0.127803292429038,-0.1317757009345794,-26.71088811766896,0.2400709920142599,0.2315018315018315,50.17483733098033,0.1114893586917673,0.1185475258098967,23.301275966579382,1368.5215311004786,1381.0,286021,556.2679425837321,566.0,116260,Crawfordsville-TP5-4353,35,43,28500.0,21.11,191.88,57.0,,,,,,,,,,,0.0,217.0,Crawfordsville,TP5,4353
479,Crawfordsville-TP5-4353_35_44,954.5507246376812,943.0,197592,741.5024154589372,740.0,153491,623.2850241545893,621.0,129020,-0.0273460814874533,-0.0311339617252213,-5.660638867902836,-0.1179149229815542,-0.125158027812895,-24.40838905718173,0.2442138819906435,0.236409608091024,50.552273572063214,0.1118190630531579,0.116377785638486,23.14654605200369,1225.1884057971015,1221.0,253614,538.0628019323672,537.0,111379,Crawfordsville-TP5-4353,35,44,32000.0,17.3,157.8,64.0,,,,,,,,,,,0.0,221.0,Crawfordsville,TP5,4353
480,Crawfordsville-TP5-4353_35_45,1065.0904761904762,1083.5,223669,818.1904761904761,816.0,171820,659.9285714285714,659.0,138585,-0.0217954204184914,-0.027745625234931,-4.5770382878832025,-0.1232554224772943,-0.1321548859016588,-25.88363872023181,0.250858201747354,0.2422873209408412,52.68022236694434,0.1155386404195664,0.1213139532105049,24.26311448810896,1375.1190476190477,1378.0,288775,552.6952380952381,553.0,116066,Crawfordsville-TP5-4353,35,45,34000.0,18.42,164.72,68.0,,,,,,,,,,,11.76,248.0,Crawfordsville,TP5,4353
481,Crawfordsville-TP5-4353_35_46,961.4182692307692,991.0,199975,751.0384615384615,767.5,156216,628.5144230769231,641.5,130731,-0.0257892389907114,-0.0277543631789995,-5.364161710067982,-0.1173848933022689,-0.1235037828102489,-24.416057806871947,0.2494463459951265,0.2431752823661799,51.88483996698633,0.1155874869823061,0.1192783573928341,24.04219729231967,1246.7307692307693,1274.5,259320,537.7019230769231,547.5,111842,Crawfordsville-TP5-4353,35,46,24500.0,17.81,161.14,49.0,,,,,,,,,,,0.0,232.0,Crawfordsville,TP5,4353
482,Crawfordsville-TP5-4353_36_42,985.8725490196078,998.0,201118,766.4166666666666,767.5,156349,626.5833333333334,629.5,127823,-0.0216216881248319,-0.0264558258231482,-4.410824377465707,-0.1184166749856277,-0.1279407656721604,-24.15700169706805,0.2536682729155525,0.2477818970105539,51.748327674772725,0.11343455264076,0.1155663479888352,23.14064873871505,1292.7598039215686,1298.0,263723,538.7156862745098,540.5,109898,Crawfordsville-TP5-4353,36,42,28000.0,19.71,178.12,56.0,,,,,,,,,,,0.0,187.0,Crawfordsville,TP5,4353
483,Crawfordsville-TP5-4353_36_43,962.65,979.5,192530,745.575,757.0,149115,615.0,621.5,123000,-0.024475268036939,-0.0268379229346793,-4.895053607387819,-0.119760297001211,-0.1263759171864515,-23.9520594002422,0.254792231717834,0.246970106099581,50.9584463435668,0.1164132861762258,0.1211526448660656,23.28265723524517,1251.585,1265.0,250317,541.535,543.5,108307,Crawfordsville-TP5-4353,36,43,26000.0,18.23,165.7,52.0,,,,,,,,,,,23.08,232.0,Crawfordsville,TP5,4353
484,Crawfordsville-TP5-4353_36_44,901.0536585365852,897.0,184716,704.5170731707317,703.0,144426,595.1219512195122,585.0,122000,-0.0268527942798765,-0.0289449112978524,-5.504822827374698,-0.1160547949611925,-0.1225238444607483,-23.79123296704447,0.2458361529901296,0.2412299696838458,50.396411362976586,0.1171483422939722,0.1184298070525615,24.015410170264303,1152.9268292682927,1162.0,236350,527.6878048780488,530.0,108176,Crawfordsville-TP5-4353,36,44,33500.0,18.16,166.6,67.0,,,,,,,,,,,0.0,243.0,Crawfordsville,TP5,4353
485,Crawfordsville-TP5-4353_36_45,976.1407766990292,977.5,201085,745.1796116504854,729.0,153507,626.3932038834952,622.0,129037,-0.0325193368819688,-0.0334639314149917,-6.698983397685575,-0.1269094767147241,-0.1315874125098443,-26.14335220323317,0.2440742885464398,0.239487182382547,50.2793034405666,0.1155490494277888,0.1188270159952364,23.803104182124493,1243.5776699029127,1222.0,256177,550.8883495145631,535.5,113483,Crawfordsville-TP5-4353,36,45,35000.0,21.59,192.84,70.0,,,,,,,,,,,2.86,233.0,Crawfordsville,TP5,4353
486,Crawfordsville-TP5-4353_36_46,922.419512195122,936.0,189096,717.6975609756098,734.0,147128,612.180487804878,619.0,125497,-0.0303380388937316,-0.0353227771010962,-6.219297973214979,-0.1188908029709055,-0.1243576567317574,-24.372614609035622,0.2473003616141298,0.2428522218394764,50.69657413089661,0.1135930233504797,0.116504854368932,23.28656978684834,1196.341463414634,1221.0,245250,534.7268292682927,541.0,109619,Crawfordsville-TP5-4353,36,46,28500.0,15.55,142.16,57.0,,,,,,,,,,,0.0,201.0,Crawfordsville,TP5,4353
487,Crawfordsville-TP5-4353_3_42,945.3962264150944,959.0,200424,719.6084905660377,726.5,152557,603.5990566037735,607.0,127963,-0.0340879477200654,-0.0359763131460255,-7.226644916653868,-0.1304265285935771,-0.1332737136670211,-27.65042406183836,0.2601749472152649,0.2554107297063903,55.15708880963617,0.12498601394354,0.1281477085533498,26.49703495603049,1230.617924528302,1227.5,260891,526.9669811320755,529.0,111717,Crawfordsville-TP5-4353,3,42,25500.0,20.48,184.65,51.0,,,,,,,,,,,1.96,254.0,Crawfordsville,TP5,4353
488,Crawfordsville-TP5-4353_3_43,959.0935960591132,965.0,194696,741.8423645320197,742.0,150594,615.2068965517242,613.0,124887,-0.0262707872483534,-0.0294117647058823,-5.332969811415758,-0.1219559773750041,-0.128,-24.757063407125845,0.263029264320229,0.255975060616557,53.39494065700649,0.1221297575773089,0.1261601925060158,24.79234078819372,1262.9408866995077,1257.0,256377,544.6354679802955,542.0,110561,Crawfordsville-TP5-4353,3,43,34000.0,18.95,172.25,68.0,,,,,,,,,,,0.0,221.0,Crawfordsville,TP5,4353
489,Crawfordsville-TP5-4353_3_44,1012.095,1014.0,202419,767.47,769.5,153494,632.02,633.0,126404,-0.032252749586994,-0.0344394850171566,-6.450549917398799,-0.1339853191777862,-0.1374932789760186,-26.79706383555725,0.2527348576100967,0.2496774866266071,50.54697152201934,0.1181902877089358,0.1202327924209077,23.638057541787177,1321.575,1323.5,264315,535.36,535.5,107072,Crawfordsville-TP5-4353,3,44,28500.0,17.96,161.36,57.0,,,,,,,,,,,7.02,268.0,Crawfordsville,TP5,4353
490,Crawfordsville-TP5-4353_3_45,1017.02,996.5,203404,761.96,748.5,152392,615.755,606.5,123151,-0.0318706667270653,-0.0335124651876012,-6.374133345413074,-0.138760091351902,-0.1435663103291493,-27.7520182703804,0.2628534683623458,0.2591479454144585,52.57069367246916,0.1265998783114913,0.1284486497693916,25.319975662298265,1324.84,1308.0,264968,535.745,535.0,107149,Crawfordsville-TP5-4353,3,45,,,,,,,,,,,,,,,,,Crawfordsville,TP5,4353
491,Crawfordsville-TP5-4353_3_46,979.6428571428572,992.5,205725,760.2047619047619,760.5,159643,626.2333333333333,627.0,131509,-0.0242195235200578,-0.0272566666517742,-5.086099939212157,-0.1203612326246714,-0.1268781874234224,-25.275858851181003,0.2504725519560821,0.2455747200956874,52.59923591077725,0.1150313310412364,0.1208045084445288,24.15657951865966,1272.557142857143,1301.5,267237,532.9285714285714,537.5,111915,Crawfordsville-TP5-4353,3,46,29000.0,19.4,173.07,58.0,,,,,,,,,,,1.72,204.0,Crawfordsville,TP5,4353
492,Crawfordsville-TP5-4353_4_42,948.9320388349514,939.0,195480,732.7281553398059,729.5,150942,593.7621359223301,584.0,122315,-0.0224997848884618,-0.0252227471289092,-4.634955687023145,-0.1221461199941309,-0.1273947528981086,-25.16210071879097,0.2629223438909016,0.2551529356908975,54.16200284152573,0.1210879210989986,0.1234864973757478,24.94411174639373,1246.1650485436894,1234.5,256710,512.8592233009708,508.5,105649,Crawfordsville-TP5-4353,4,42,28500.0,19.38,175.95,57.0,,,,,,,,,,,1.75,226.0,Crawfordsville,TP5,4353
