file,Red,Green,Blue,GLI,NGRDI
Crawfordsville-TP2-4351_9_20,74,88,74,0.08641975308641975,0.08641975308641975
Crawfordsville-TP2-4351_9_20,78,91,77,0.08011869436201781,0.07692307692307693
Crawfordsville-TP2-4351_9_20,80,91,79,0.06744868035190615,0.06432748538011696
Crawfordsville-TP2-4351_9_20,68,81,68,0.087248322147651,0.087248322147651
Crawfordsville-TP2-4351_9_20,72,85,73,0.07936507936507936,0.08280254777070063
Crawfordsville-TP2-4351_9_20,86,94,83,0.05322128851540616,0.044444444444444446
Crawfordsville-TP2-4351_9_20,93,100,89,0.04712041884816754,0.03626943005181347
Crawfordsville-TP2-4351_9_20,86,94,85,0.04735376044568245,0.044444444444444446
Crawfordsville-TP2-4351_9_20,98,105,96,0.039603960396039604,0.034482758620689655
Crawfordsville-TP2-4351_9_20,101,108,97,0.043478260869565216,0.03349282296650718
Crawfordsville-TP2-4351_9_20,86,96,86,0.054945054945054944,0.054945054945054944
Crawfordsville-TP2-4352_8_2,53,73,61,0.12307692307692308,0.15873015873015872
Crawfordsville-TP2-4352_8_2,27,55,44,0.2154696132596685,0.34146341463414637
Crawfordsville-TP2-4352_8_2,51,70,59,0.12,0.15702479338842976
Crawfordsville-TP2-4352_9_4,74,84,76,0.05660377358490566,0.06329113924050633
Crawfordsville-TP2-4352_9_4,72,85,76,0.06918238993710692,0.08280254777070063
Crawfordsville-TP2-4353_25_44,77,93,79,0.08771929824561403,0.09411764705882353
Crawfordsville-TP2-4353_25_44,35,64,49,0.20754716981132076,0.29292929292929293
Crawfordsville-TP2-4353_25_44,21,57,40,0.3028571428571429,0.46153846153846156
Crawfordsville-TP2-4353_25_44,75,93,77,0.10059171597633136,0.10714285714285714
Crawfordsville-TP2-4353_25_44,57,79,64,0.13261648745519714,0.16176470588235295
Crawfordsville-TP2-4353_25_44,71,88,73,0.1,0.1069182389937107
Crawfordsville-TP2-4353_25_44,56,78,62,0.1386861313868613,0.16417910447761194
Crawfordsville-TP2-4353_25_44,33,63,47,0.22330097087378642,0.3125
Crawfordsville-TP2-4353_25_44,51,75,59,0.15384615384615385,0.19047619047619047
Crawfordsville-TP2-4353_25_44,75,91,76,0.09309309309309309,0.0963855421686747
Crawfordsville-TP2-4353_25_44,78,93,79,0.08454810495626822,0.08771929824561403
Crawfordsville-TP2-4353_25_44,83,96,82,0.07563025210084033,0.07262569832402235
Crawfordsville-TP2-4353_25_44,92,103,87,0.07012987012987013,0.05641025641025641
Crawfordsville-TP2-4353_25_44,80,93,79,0.0782608695652174,0.07514450867052024
Crawfordsville-TP2-4353_25_44,68,84,71,0.09446254071661238,0.10526315789473684
Crawfordsville-TP2-4353_25_44,78,90,79,0.06824925816023739,0.07142857142857142
Crawfordsville-TP2-4353_25_44,66,81,70,0.087248322147651,0.10204081632653061
Crawfordsville-TP2-4353_25_44,50,69,59,0.11740890688259109,0.15966386554621848
Crawfordsville-TP2-4351_8_14,72,88,76,0.08641975308641975,0.1
Crawfordsville-TP2-4351_8_14,74,90,76,0.09090909090909091,0.0975609756097561
Crawfordsville-TP2-4351_8_14,66,85,71,0.10749185667752444,0.12582781456953643
Crawfordsville-TP2-4351_8_14,75,91,77,0.08982035928143713,0.0963855421686747
Crawfordsville-TP2-4351_8_14,78,93,79,0.08454810495626822,0.08771929824561403
Crawfordsville-TP2-4351_8_14,81,94,80,0.07736389684813753,0.07428571428571429
Crawfordsville-TP2-4351_8_14,103,111,97,0.052132701421800945,0.037383177570093455
Crawfordsville-TP2-4351_8_14,104,111,98,0.04716981132075472,0.03255813953488372
Crawfordsville-TP2-4351_8_14,87,97,86,0.05722070844686648,0.05434782608695652
Crawfordsville-TP2-4353_18_46,65,81,67,0.10204081632653061,0.1095890410958904
Crawfordsville-TP2-4353_18_46,80,93,77,0.08454810495626822,0.07514450867052024
Crawfordsville-TP2-4353_18_46,60,79,62,0.12857142857142856,0.1366906474820144
Crawfordsville-TP2-4353_18_46,33,61,44,0.22613065326633167,0.2978723404255319
Crawfordsville-TP2-4353_18_46,45,70,53,0.17647058823529413,0.21739130434782608
Crawfordsville-TP2-4353_18_46,83,99,82,0.09090909090909091,0.08791208791208792
Crawfordsville-TP2-4353_18_46,90,104,87,0.08051948051948052,0.07216494845360824
Crawfordsville-TP2-4353_18_46,89,103,89,0.07291666666666667,0.07291666666666667
Crawfordsville-TP2-4353_18_46,96,110,94,0.07317073170731707,0.06796116504854369
Crawfordsville-TP2-4353_18_46,83,99,85,0.08196721311475409,0.08791208791208792
Crawfordsville-TP2-4353_18_46,75,91,79,0.08333333333333333,0.0963855421686747
Crawfordsville-TP2-4353_18_46,83,96,83,0.07262569832402235,0.07262569832402235
Crawfordsville-TP2-4353_18_46,77,90,79,0.07142857142857142,0.07784431137724551
Crawfordsville-TP2-4353_18_46,87,97,85,0.060109289617486336,0.05434782608695652
Crawfordsville-TP2-4353_18_46,107,112,100,0.03944315545243619,0.0228310502283105
Crawfordsville-TP2-4353_18_46,74,85,74,0.06918238993710692,0.06918238993710692
Crawfordsville-TP2-4353_18_46,18,48,37,0.271523178807947,0.45454545454545453
Crawfordsville-TP2-4352_23_7,65,76,67,0.07042253521126761,0.07801418439716312
Crawfordsville-TP2-4352_23_7,80,88,79,0.050746268656716415,0.047619047619047616
Crawfordsville-TP2-4352_23_7,87,94,83,0.05027932960893855,0.03867403314917127
Crawfordsville-TP2-4352_23_7,66,78,68,0.07586206896551724,0.08333333333333333
Crawfordsville-TP2-4352_23_7,72,82,73,0.061488673139158574,0.06493506493506493
Crawfordsville-TP2-4352_23_7,69,81,71,0.0728476821192053,0.08
Crawfordsville-TP2-4352_23_7,21,48,38,0.23870967741935484,0.391304347826087
Crawfordsville-TP2-4353_32_42,36,61,52,0.1619047619047619,0.25773195876288657
Crawfordsville-TP2-4353_32_42,30,58,49,0.18974358974358974,0.3181818181818182
Crawfordsville-TP2-4353_32_42,48,70,61,0.12449799196787148,0.1864406779661017
Crawfordsville-TP2-4353_32_42,53,72,64,0.10344827586206896,0.152
