file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum
Crawfordsville-TP3-4353_29_44,550.465,565.0,110093,728.77,737.0,145754,584.89,593.5,116978,0.12697646718040742,0.1234564703462806,25.395293436081484,0.14589359213457756,0.1343401722391084,29.178718426915513,0.795245330267596,0.7919417979487973,159.0490660535192,0.3495332387221917,0.3511679336458081,69.90664774443835,2300.655,2291.0,460131,608.975,614.0,121795
Crawfordsville-TP3-4353_29_45,504.5314009661836,522.0,104438,690.072463768116,701.0,142845,552.5507246376811,562.0,114378,0.1355516056929647,0.13221601489757914,28.059182378443694,0.16299893778202976,0.15262321144674085,33.74078012088016,0.7980802453070674,0.7935943060498221,165.20261077856296,0.3479264145811805,0.34858645627876395,72.02076781830436,2144.1642512077296,2159.0,443842,574.7777777777778,583.0,118979
Crawfordsville-TP3-4353_29_46,592.5490196078431,589.5,120880,767.8578431372549,764.5,156643,599.6715686274509,599.5,122333,0.12851400663307214,0.12688503803888418,26.216857353146715,0.13485480747671202,0.1305978865576955,27.510380725249252,0.7814374980789325,0.7802173895274863,159.41324960810223,0.34039316237563755,0.3398366329496277,69.44020512463005,2352.044117647059,2359.0,479817,610.5490196078431,606.5,124552
Crawfordsville-TP3-4353_30_42,532.115,529.0,106423,699.47,695.5,139894,577.685,578.0,115537,0.11713395671858498,0.11645218997056957,23.426791343716996,0.14058003688362006,0.1360655737704918,28.116007376724014,0.7919140447214994,0.7899718359878533,158.38280894429988,0.35191487948830946,0.35180135433137527,70.3829758976619,2179.545,2185.5,435909,598.385,598.0,119677
Crawfordsville-TP3-4353_30_43,559.0146341463415,576.0,114598,720.2780487804878,730.0,147657,589.6634146341463,600.0,120881,0.11481834755042902,0.1096322241681261,23.53776124783795,0.13107741349527807,0.12102874432677761,26.870869766532007,0.7874254399280615,0.7830170596128043,161.4222151852526,0.34382213250189275,0.34478389412924115,70.48353716288801,2274.1560975609755,2288.0,466202,591.5024390243902,598.0,121258
Crawfordsville-TP3-4353_30_44,541.107476635514,547.0,115797,733.5560747663551,734.0,156981,576.6822429906542,579.5,123410,0.13679613452854117,0.13589896586305683,29.274372789107808,0.15476815989082396,0.15059438923303176,33.12038621663633,0.7959605277303891,0.7954218665035477,170.33555293430325,0.34764142119013736,0.34801043540482235,74.3952641346894,2292.5467289719627,2306.5,490605,592.0,592.0,126688
Crawfordsville-TP3-4353_30_45,489.07142857142856,490.5,102705,668.495238095238,671.0,140384,540.5761904761905,543.5,113521,0.13421425898069558,0.1298929251774686,28.184994385946073,0.16575455758626786,0.15681657848324515,34.80845709311625,0.8013407160633236,0.7983151342328558,168.28155037329796,0.3529673547901298,0.3571809275190814,74.12314450592726,2085.847619047619,2081.0,438028,573.3238095238095,576.0,120398
Crawfordsville-TP3-4353_30_46,547.128078817734,547.0,111067,708.8571428571429,720.0,143898,578.5369458128079,580.0,117443,0.11922575499079772,0.11703958691910499,24.202828263131938,0.13949987093647842,0.13142857142857142,28.318473800105117,0.7904186288657266,0.7863608931804466,160.4549816597425,0.35071967931187675,0.3533215755437978,71.19609490031098,2205.9014778325122,2200.0,447798,601.5270935960591,597.0,122110
Crawfordsville-TP3-4353_31_42,524.95,521.0,104990,707.835,706.5,141567,563.28,563.0,112656,0.13338643970653538,0.13171880345353032,26.67728794130708,0.15432952141554543,0.1493409944992103,30.865904283109085,0.7936534199079115,0.7942457618747294,158.7306839815823,0.3463718308643097,0.3459315133654089,69.27436617286195,2193.785,2206.5,438757,583.935,577.0,116787
Crawfordsville-TP3-4353_31_43,542.8755980861245,544.0,113461,722.5454545454545,724.0,151012,581.4258373205741,582.0,121518,0.126372347165859,0.12513368983957218,26.41182055766453,0.14621846721903842,0.14127861089187055,30.55965964877903,0.7916199104705586,0.7894932935916542,165.44856128834675,0.3422753912118868,0.3428863868986694,71.53555676328435,2270.693779904306,2287.0,474575,602.7224880382776,604.0,125969
