file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum
Ames-TP1-4232_13_18,57.36981768019625,46.0,8442485,84.60433952391631,70.0,12450290,55.05036728980219,41.0,8101157,0.21230366780809692,0.2054794520547945,31242.395450971733,0.19714784385182496,0.2,29012.079553390708
Ames-TP1-4232_13_19,65.94459954217866,58.0,9708298,98.1930049789769,88.0,14455876,60.93688993947792,50.0,8971068,0.22421568803869918,0.22065727699530516,33008.80937736925,0.2006332281739041,0.20376175548589343,29537.02321853399
Ames-TP1-4232_13_20,66.86084028136118,55.0,9847532,93.01539203172103,77.0,13699679,62.44613128377828,48.0,9197316,0.18476852348970446,0.184,27213.447213657633,0.16216638102888614,0.16587677725118483,23884.513263458466
Ames-TP1-4232_13_21,59.82551217784558,48.0,8783821,86.32082629542855,72.0,12673969,54.36359178335967,41.0,7981880,0.20504970204682588,0.19823788546255505,30106.217453323163,0.1798541771774137,0.18309859154929578,26406.90970989659
Ames-TP1-4232_13_22,48.83283187888854,34.0,7173836,72.01920956257743,52.0,10580054,43.601173539542295,29.0,6405274,0.2129451387287042,0.2037037037037037,31282.91855007902,0.18938464468014593,0.19003115264797507,27821.74061138152
Ames-TP1-4232_14_17,62.65482744090582,52.0,9218906,92.09518275360546,83.0,13550701,57.36809661678152,45.0,8441027,0.22560622568284203,0.22105263157894736,33195.24883452201,0.2003909587874259,0.20418848167539266,29485.124894064273
Ames-TP1-4232_14_18,61.36297992011521,52.0,9033367,92.45678341439556,84.0,13610748,58.012682390022555,46.0,8540163,0.22591791901229466,0.21739130434782608,33257.82869363792,0.20299121420671795,0.20446096654275092,29882.742625799365
Ames-TP1-4232_14_19,63.96114151468651,56.0,9420069,96.78774154999388,89.0,14254705,60.17024267032415,48.0,8861753,0.23397273657926768,0.22522522522522523,34459.03669792139,0.20825398094085693,0.20833333333333334,30671.229805007526
Ames-TP1-4232_14_20,62.79729867794602,52.0,9219711,92.66204867283761,80.0,13604364,58.13081591368847,45.0,8534592,0.21963264527929313,0.2158273381294964,32245.80608196998,0.19675291479532506,0.2,28886.67269150524
Ames-TP1-4232_14_21,56.53767554578316,45.0,8305328,88.19416742115331,77.0,12955635,48.89726955254971,37.0,7182960,0.2595255106272636,0.2537313432835821,38124.03798563439,0.22201306089348644,0.2255892255892256,32613.496632192262
Ames-TP1-4232_14_22,49.599221683992816,37.0,7290292,74.36811489685952,57.0,10930923,47.046753388123875,33.0,6915120,0.21327778549003076,0.2054794520547945,31348.422022466682,0.19810579813687185,0.2,29118.38263334997
Ames-TP1-4232_15_17,63.73451682156639,53.0,9381211,91.86701722919724,83.0,13522090,57.16909207022121,45.0,8414833,0.21463352143767392,0.20754716981132076,31592.3372874541,0.18349235042743964,0.18796992481203006,27008.606044115695
Ames-TP1-4232_15_18,61.80817443502825,54.0,9102119,89.70391270099957,78.0,13210157,55.1786519448066,45.0,8125829,0.2127704988674384,0.20727272727272728,31333.43474521445,0.1798464420218495,0.18699186991869918,26484.906437905644
