file,RedMean,RedMedian,RedSum,GreenMean,GreenMedian,GreenSum,BlueMean,BlueMedian,BlueSum,GLIMean,GLIMedian,GLIsum,NGRDIMean,NGRDIMedian,NGRDISum
Crawfordsville-TP2-4352_12_4,64.61463414634146,66.0,13246,79.77073170731707,82.0,16353,70.75121951219512,73.0,14504,0.08670912439753582,0.07958477508650519,17.775370501494844,0.11575560202524565,0.10204081632653061,23.72989841517536
Crawfordsville-TP2-4352_12_5,60.045,60.0,12009,77.065,76.0,15413,65.175,65.0,13035,0.11106016026779802,0.10144927536231885,22.212032053559604,0.14086357918487877,0.11764705882352941,28.17271583697575
Crawfordsville-TP2-4352_12_6,72.875,75.0,14575,86.905,88.0,17381,75.055,77.0,15011,0.0903778294696404,0.07538738038568028,18.07556589392808,0.10850941884117185,0.08024997142095035,21.70188376823437
Crawfordsville-TP2-4352_12_7,68.095,69.0,13619,83.17,84.0,16634,72.255,73.0,14451,0.09105408794276176,0.08,18.210817588552352,0.11356358132365274,0.09212121212121213,22.71271626473055
Crawfordsville-TP2-4352_12_8,72.8,74.0,14560,86.69,88.0,17338,74.67,76.0,14934,0.08800519208308658,0.07668783815572806,17.601038416617314,0.1013603562761309,0.08306794055201698,20.27207125522618
Crawfordsville-TP2-4352_12_9,66.295,68.0,13259,82.15,82.0,16430,70.365,71.0,14073,0.09958025242214572,0.08967466225530742,19.916050484429142,0.12324805420705635,0.10204081632653061,24.64961084141127
Crawfordsville-TP2-4352_13_2,62.735,65.0,12547,77.765,78.0,15553,67.815,68.0,13563,0.0917734285442035,0.08361204013377926,18.3546857088407,0.11656673003146725,0.10174504584442473,23.31334600629345
Crawfordsville-TP2-4352_13_3,73.155,75.0,14631,88.115,90.0,17623,76.36,77.0,15272,0.09022504501981357,0.07865168539325842,18.045009003962715,0.11053328033182115,0.08667051868971953,22.10665606636423
Crawfordsville-TP2-4352_13_4,69.95121951219512,72.0,14340,84.46341463414635,85.0,17315,72.58048780487805,73.0,14879,0.08987453106648764,0.08250825082508251,18.424278868629965,0.10445322870330422,0.09090909090909091,21.412911884177365
Crawfordsville-TP2-4352_13_5,63.52132701421801,65.0,13403,81.4739336492891,82.0,17191,69.58293838862559,70.0,14682,0.10564843645494035,0.09779179810725552,22.291820091992413,0.13418759608605413,0.12,28.31358277415742
Crawfordsville-TP2-4352_13_6,77.42647058823529,80.0,15795,91.03921568627452,93.0,18572,78.50980392156863,80.0,16016,0.08347014921901888,0.07374631268436578,17.02791044067985,0.09270064269790228,0.07437689969604863,18.910931110372065
Crawfordsville-TP2-4352_13_7,69.26,71.0,13852,87.17,88.0,17434,73.565,74.0,14713,0.10382417610909045,0.0953198961673538,20.76483522181809,0.12315589456536592,0.10810810810810811,24.631178913073185
