file_,Red_mean,Red_median,Red_sum,Green_mean,Green_median,Green_sum,Blue_mean,Blue_median,Blue_sum,GLI_mean,GLI_median,GLI_sum,NGRDI_mean,NGRDI_median,NGRDI_sum,NDVI_mean,NDVI_median,NDVI_sum,NDRE_mean,NDRE_median,NDRE_sum,RedEdge_mean,RedEdge_median,RedEdge_sum,DeepBlue_mean,DeepBlue_median,DeepBlue_sum,Nir_mean,Nir_median,Nir_sum
Crawfordsville-TP5-4351_7_17,850.29,837.5,170058,676.57,673.5,135314,565.19,563.0,113038,-0.01993062969578105,-0.022291544883612874,-3.9861259391562096,-0.10863949986447236,-0.11276808355460041,-21.72789997289447,0.2595169664341323,0.2555521974199924,51.90339328682646,0.12374192620280466,0.1261538590965144,24.748385240560932,1109.52,1085.5,221904,508.83,502.5,101766,1431.06,1412.5,286212
Crawfordsville-TP5-4351_7_18,985.62,992.0,197124,763.65,776.0,152730,631.35,635.0,126270,-0.02626105195552067,-0.026143252403426617,-5.252210391104134,-0.12216944545685825,-0.12381757225416189,-24.43388909137165,0.261916176864131,0.25884832556588855,52.3832353728262,0.12622725768177828,0.12836488912971877,25.245451536355656,1290.14,1299.0,258028,544.38,548.5,108876,1669.8,1677.5,333960
Crawfordsville-TP5-4351_7_19,984.43,987.0,196886,732.08,728.5,146416,604.71,599.5,120942,-0.03879306883758928,-0.0415913490360106,-7.758613767517857,-0.14349636247672395,-0.14536585837490815,-28.699272495344793,0.2663851083698635,0.261261382596254,53.277021673972705,0.12328185069703908,0.12428108685691439,24.656370139407816,1308.9,1297.0,261780,513.98,507.5,102796,1684.32,1675.5,336864
Crawfordsville-TP5-4351_7_20,1055.6666666666667,1045.0,190020,779.7111111111111,768.0,140348,626.5222222222222,628.0,112774,-0.035082114676320116,-0.039475636999890644,-6.31478064173762,-0.14566886826502357,-0.15143360991477733,-26.220396287704244,0.2619925766572216,0.25680901867146827,47.158663798299884,0.1293739147738011,0.13136128331060104,23.2873046592842,1365.8777777777777,1346.0,245858,524.8777777777777,526.0,94478,1782.1555555555556,1777.0,320788
Crawfordsville-TP5-4351_8_13,900.58,877.0,180116,701.16,674.0,140232,575.06,551.0,115012,-0.02379877351791114,-0.026816761271572776,-4.759754703582228,-0.12079175531113799,-0.12715070160280312,-24.1583510622276,0.2561881399756589,0.2542071341590187,51.23762799513178,0.12926427587970435,0.1300936431423098,25.852855175940867,1157.21,1140.5,231442,517.83,515.0,103566,1507.76,1483.0,301552
Crawfordsville-TP5-4351_8_14,922.3928571428571,925.5,154962,718.8928571428571,725.5,120774,603.6190476190476,608.5,101408,-0.02753838456132656,-0.028909200741314194,-4.626448606302862,-0.11913320780536611,-0.12442378567432083,-20.014378911301506,0.24558000528860355,0.24185952574312575,41.2574408884854,0.11743347836861062,0.12151008720582823,19.728824365926585,1185.952380952381,1197.5,199240,530.1428571428571,541.0,89064,1510.452380952381,1523.5,253756
Crawfordsville-TP5-4351_8_15,993.83,1023.5,198766,769.33,792.5,153866,638.77,656.0,127754,-0.0270072340036632,-0.029982478560273473,-5.40144680073264,-0.12170588500486551,-0.1281438892834822,-24.3411770009731,0.249772317282339,0.24321865237777532,49.9544634564678,0.12394200462949416,0.12912664233422544,24.78840092589883,1263.81,1297.0,252762,542.26,561.5,108452,1633.84,1693.0,326768
Crawfordsville-TP5-4351_8_16,964.4888888888889,969.5,173608,742.8444444444444,749.0,133712,618.4333333333333,621.5,111318,-0.028570175224099978,-0.028502142571655197,-5.142631540337996,-0.12460862703914859,-0.12728840797560975,-22.429552867046745,0.2554116346408562,0.251128051676641,45.974094235354116,0.1232552447359549,0.12520544975730358,22.185944052471882,1250.8222222222223,1258.0,225148,551.9666666666667,555.0,99354,1610.7444444444445,1616.0,289934
Crawfordsville-TP5-4351_8_17,992.9,958.0,198580,752.12,726.0,150424,623.38,611.0,124676,-0.033019709889849834,-0.0358750795611966,-6.603941977969967,-0.1328126056395552,-0.13760398959822584,-26.562521127911037,0.2556203288590276,0.25454463380138936,51.12406577180552,0.1248423309236922,0.1283020132893719,24.96846618473844,1280.25,1262.0,256050,530.58,520.5,106116,1656.25,1634.5,331250
Crawfordsville-TP5-4351_8_18,988.0246913580247,993.0,160060,748.5185185185185,753.0,121260,619.0370370370371,624.0,100284,-0.03264538026344913,-0.03601756954612006,-5.288551602678759,-0.13320020280630868,-0.13887204366282596,-21.578432854622005,0.2830119544746443,0.2760855476344783,45.84793662489237,0.1387676779264697,0.14209115281501342,22.480363824088094,1315.6543209876543,1323.0,213136,533.2098765432099,540.0,86380,1748.20987654321,1765.0,283210
